study_id,year,ym,male,female,unknown,total
phs000677.v1.p1,2013,2013.91666666667,0,0,5427,5427
phs000678.v1.p1,2014,2014.33333333333,629,2863,2530,6022
phs000679.v1.p1,2014,2014.25,0,1001,0,1001
phs000681.v2.p1,2019,2019.33333333333,859,1676,0,2535
phs000682.v1.p1,2013,2013.83333333333,103,59,0,162
phs000689.v1.p1,2014,2014.08333333333,0,0,55,55
phs000690.v1.p1,2013,2013.91666666667,15,45,0,60
phs000691.v2.p1,2015,2015.16666666667,291,197,163,651
phs000694.v3.p2,2017,2017.58333333333,0,0,39,39
phs000697.v1.p1,2018,2018.16666666667,0,0,39,39
phs000698.v1.p1,2018,2018.16666666667,0,0,51,51
phs000699.v1.p1,2014,2014.91666666667,58,58,0,116
phs000700.v2.p1,2019,2019.83333333333,14,8,0,22
phs000701.v1.p1,2017,2017.41666666667,0,0,91,91
phs000703.v1.p1,2014,2014.5,1909,1397,0,3306
phs000706.v1.p1,2014,2014.08333333333,0,5,0,5
phs000707.v2.p1,2017,2017.16666666667,10,8,0,18
phs000708.v1.p1,2014,2014.5,90,109,0,199
phs000709.v1.p1,2014,2014.25,0,0,29,29
phs000710.v1.p1,2015,2015.25,44,52,12,108
phs000712.v1.p1,2015,2015.66666666667,310,223,106,639
phs000713.v1.p1,2014,2014.75,328,380,0,708
phs000714.v1.p1,2014,2014.5,0,0,2925,2925
phs000716.v1.p1,2014,2014.08333333333,0,9178,0,9178
phs000718.v1.p1,2015,2015.41666666667,1114,1175,176,2465
phs000719.v1.p1,2014,2014.25,14,88,0,102
phs000720.v4.p1,2021,2021.16666666667,586,361,7,954
phs000722.v2.p2,2017,2017.33333333333,539,830,0,1369
phs000723.v1.p1,2020,2020.5,0,29,0,29
phs000725.v2.p1,2017,2017,144,99,5,248
phs000726.v1.p1,2014,2014.75,546,426,0,972
phs000727.v1.p1,2014,2014.75,215,180,0,395
phs000729.v1.p1,2014,2014.25,8,10,0,18
phs000730.v1.p1,2015,2015.83333333333,103,189,0,292
phs000732.v1.p1,2014,2014.25,12,8,0,20
phs000733.v1.p1,2014,2014.5,4141,40,0,4181
phs000734.v1.p1,2014,2014.25,423,294,0,717
phs000735.v1.p1,2014,2014.25,0,0,48,48
phs000737.v1.p1,2015,2015,565,750,684,1999
phs000739.v1.p1,2014,2014.33333333333,5,2,0,7
phs000740.v1.p1,2014,2014.25,33,7,0,40
phs000741.v2.p1,2016,2016.83333333333,458,510,7576,8544
phs000742.v1.p1,2018,2018.5,0,0,7871,7871
phs000743.v1.p1,2017,2017,982,0,1134,2116
phs000745.v1.p1,2014,2014.33333333333,10,10,0,20
phs000747.v2.p1,2017,2017.66666666667,40,0,0,40
phs000748.v7.p4,2019,2019.08333333333,3055,2025,38,5118
phs000750.v1.p1,2014,2014.66666666667,112,138,20,270
phs000751.v1.p1,2014,2014.33333333333,1090,526,0,1616
phs000753.v1.p1,2014,2014.41666666667,1302,988,0,2290
phs000756.v1.p1,2018,2018.91666666667,4392,4943,0,9335
phs000757.v1.p1,2014,2014.41666666667,33,21,73,127
phs000758.v1.p1,2014,2014.58333333333,10,11,7,28
phs000759.v1.p1,2014,2014.41666666667,13,12,0,25
phs000760.v1.p1,2015,2015.08333333333,335,251,0,586
phs000761.v1.p1,2015,2015.16666666667,1298,1737,411,3446
phs000763.v1.p1,2015,2015,987,1071,1476,3534
phs000766.v1.p1,2015,2015.16666666667,2383,2371,90,4844
phs000767.v1.p1,2014,2014.5,132,45,0,177
phs000768.v2.p1,2016,2016.91666666667,33,23,43,99
phs000770.v1.p1,2016,2016.58333333333,0,29,0,29
phs000771.v2.p1,2017,2017.75,167,65,0,232
phs000772.v1.p1,2014,2014.58333333333,24,11,813,848
phs000774.v2.p1,2017,2017.91666666667,5783,6363,3451,15597
phs000775.v1.p1,2014,2014.5,497,362,0,859
phs000776.v1.p1,2014,2014.58333333333,7,26,0,33
phs000777.v1.p1,2014,2014.58333333333,4,6,0,10
phs000778.v1.p1,2014,2014.5,1,4,0,5
phs000779.v1.p1,2014,2014.5,1457,1445,0,2902
phs000782.v1.p1,2017,2017.75,39,7,0,46
phs000783.v2.p1,2018,2018.16666666667,267,201,3,471
phs000784.v3.p1,2019,2019.83333333333,518,482,776,1776
phs000785.v1.p1,2019,2019.91666666667,0,0,198,198
phs000787.v1.p1,2014,2014.66666666667,150,60,0,210
phs000788.v2.p3,2018,2018.08333333333,5737,8463,0,14200
phs000790.v1.p1,2014,2014.66666666667,0,0,12,12
phs000791.v2.p1,2020,2020,125,113,21,259
phs000792.v1.p1,2014,2014.66666666667,41,5,0,46
phs000794.v1.p1,2014,2014.91666666667,23,19,0,42
phs000795.v1.p1,2014,2014.66666666667,0,6,16,22
phs000796.v1.p1,2016,2016.33333333333,1152,2087,0,3239
phs000797.v1.p1,2014,2014.66666666667,4,1,0,5
phs000798.v1.p1,2014,2014.66666666667,0,11,33,44
phs000799.v1.p1,2015,2015.66666666667,0,5152,0,5152
phs000801.v2.p1,2016,2016.66666666667,5221,5570,0,10791
phs000803.v2.p1,2017,2017.58333333333,0,22,0,22
phs000807.v1.p1,2015,2015,0,1914,0,1914
phs000809.v1.p1,2014,2014.83333333333,6,2,0,8
phs000811.v1.p1,2015,2015,0,0,16,16
phs000812.v1.p1,2014,2014.75,503,187,11811,12501
phs000813.v1.p1,2015,2015.75,1228,1855,15,3098
phs000814.v1.p1,2016,2016,3187,405,0,3592
phs000815.v2.p1,2020,2020.08333333333,424,575,396,1395
phs000816.v2.p1,2017,2017.25,232,279,0,511
phs000817.v1.p1,2015,2015,48,208,8,264
phs000820.v1.p1,2015,2015.83333333333,410,133,0,543
phs000821.v1.p1,2014,2014.83333333333,0,0,1366,1366
phs000822.v1.p1,2016,2016.16666666667,0,466,0,466
phs000823.v1.p1,2016,2016.33333333333,178,209,0,387
phs000824.v1.p1,2015,2015.83333333333,37,63,0,100
phs000825.v1.p1,2014,2014.83333333333,0,0,2,2
phs000826.v1.p1,2014,2014.83333333333,0,0,1579,1579
phs000827.v3.p1,2016,2016.83333333333,241,351,0,592
phs000828.v1.p1,2015,2015.66666666667,0,0,5,5
phs000830.v1.p1,2015,2015.58333333333,22,4,0,26
phs000832.v1.p1,2015,2015.16666666667,199,182,0,381
phs000833.v7.p1,2017,2017.83333333333,1822,4408,3040,9270
phs000837.v1.p1,2015,2015,3,3,0,6
phs000838.v1.p1,2015,2015.41666666667,932,0,0,932
phs000839.v1.p1,2014,2014.91666666667,2,3,140,145
phs000840.v1.p1,2016,2016.5,3434,3531,0,6965
phs000841.v1.p1,2014,2014.91666666667,0,180,0,180
phs000842.v2.p1,2019,2019.16666666667,994,586,248,1828
phs000846.v1.p1,2015,2015,0,0,27,27
phs000847.v2.p1,2016,2016.91666666667,873,1269,350,2492
phs000848.v1.p1,2014,2014.91666666667,1,2,0,3
phs000851.v1.p1,2015,2015.66666666667,0,5367,0,5367
phs000852.v1.p1,2017,2017.5,419,365,0,784
phs000855.v1.p1,2015,2015.16666666667,39,9,0,48
phs000856.v1.p1,2015,2015,0,2,0,2
phs000857.v1.p1,2015,2015.08333333333,0,50,0,50
phs000858.v1.p1,2015,2015.66666666667,2,5,0,7
phs000862.v1.p1,2018,2018.25,0,0,5,5
phs000863.v1.p1,2015,2015.41666666667,358,292,0,650
phs000864.v1.p1,2015,2015.33333333333,3976,16,6,3998
phs000866.v1.p1,2015,2015.16666666667,45,42,0,87
phs000867.v1.p1,2015,2015.08333333333,2182,1746,0,3928
phs000868.v1.p1,2015,2015.16666666667,0,0,29,29
phs000869.v1.p1,2015,2015.16666666667,5550,1379,2,6931
phs000870.v1.p1,2015,2015.75,57,0,0,57
phs000871.v1.p1,2017,2017.33333333333,32,34,0,66
phs000872.v1.p1,2015,2015.16666666667,18,6,0,24
phs000873.v1.p1,2015,2015.16666666667,2,9,4,15
phs000874.v1.p1,2015,2015.25,498,452,0,950
phs000876.v2.p1,2020,2020.16666666667,6682,5533,51,12266
phs000879.v1.p1,2015,2015.75,30,30,0,60
phs000882.v1.p1,2016,2016.58333333333,7639,0,0,7639
phs000883.v1.p1,2016,2016,1331,723,0,2054
phs000885.v1.p1,2015,2015.16666666667,84,16,5,105
phs000886.v1.p1,2016,2016.33333333333,30,44,0,74
phs000892.v2.p2,2015,2015.66666666667,24,178,0,202
phs000893.v1.p1,2016,2016.66666666667,0,299,8323,8622
phs000894.v1.p1,2015,2015.33333333333,320,235,0,555
phs000895.v1.p1,2016,2016.25,176,144,0,320
phs000896.v1.p1,2015,2015.83333333333,30,42,0,72
phs000897.v1.p1,2017,2017.25,0,0,142,142
phs000898.v1.p1,2015,2015.33333333333,0,2,0,2
phs000900.v1.p1,2015,2015.25,0,0,75,75
phs000901.v1.p1,2015,2015.41666666667,44,13,0,57
phs000902.v1.p1,2016,2016,607,177,0,784
phs000903.v1.p1,2015,2015.75,1149,1464,474,3087
phs000904.v1.p1,2018,2018,4,4,6,14
phs000907.v1.p1,2016,2016.83333333333,2,11,0,13
phs000909.v1.p1,2016,2016,300,0,0,300
phs000910.v1.p1,2015,2015.58333333333,4063,3942,0,8005
phs000911.v1.p1,2016,2016.33333333333,8608,8852,1387,18847
phs000912.v1.p1,2018,2018,0,1165,0,1165
phs000914.v1.p1,2016,2016.25,1297,1926,384,3607
phs000915.v2.p2,2018,2018.83333333333,763,0,0,763
phs000916.v1.p1,2016,2016.5,516,283,0,799
phs000917.v1.p1,2016,2016,5982,1309,7,7298
phs000920.v5.p3,2021,2021.75,2016,2021,922,4959
phs000922.v2.p1,2021,2021.33333333333,518,168,2,688
phs000923.v1.p1,2016,2016.58333333333,141,0,0,141
phs000924.v4.p1,2019,2019.75,591,1091,170,1852
