,n,male,female,unknown,date
592,405.0,5.0,3.0,397.0,2021/06/16
593,5.0,2.0,3.0,0.0,06/21/2016
597,946.0,560.0,386.0,0.0,05/16/2017
600,964.0,89.0,875.0,0.0,2019/01/10
602,380.0,330.0,50.0,0.0,2017/09/22
603,768.0,612.0,84.0,72.0,2019/03/11
604,565.0,81.0,94.0,390.0,2017/11/06
606,6443.0,2943.0,3500.0,0.0,04/29/2016
607,83.0,21.0,18.0,44.0,2018/12/11
609,1.0,1.0,0.0,0.0,2019/05/24
610,14938.0,6783.0,8155.0,0.0,2020/06/18
611,39.0,29.0,8.0,2.0,2020/01/21
613,3.0,0.0,1.0,2.0,05/08/2017
614,21.0,7.0,14.0,0.0,2017/09/12
616,26.0,12.0,14.0,0.0,01/23/2017
618,40.0,26.0,13.0,1.0,2019/01/29
626,348.0,98.0,101.0,149.0,2018/06/18
627,56.0,0.0,56.0,0.0,2020/09/22
629,5.0,4.0,1.0,0.0,2020/12/22
631,550.0,93.0,85.0,372.0,2021/03/10
634,4876.0,1686.0,1054.0,2136.0,05/16/2017
635,8.0,5.0,3.0,0.0,2019/08/27
637,1000.0,518.0,482.0,0.0,2019/11/15
640,8003.0,4525.0,3478.0,0.0,06/23/2015
641,19.0,3.0,16.0,0.0,2021/05/18
645,830.0,258.0,572.0,0.0,2018/06/14
646,592.0,241.0,351.0,0.0,11/14/2016
649,787.0,406.0,357.0,24.0,06/09/2015
650,15.0,11.0,4.0,0.0,2020/02/19
652,21701.0,9564.0,12137.0,0.0,2018/03/15
654,762.0,9.0,3.0,750.0,2017/12/13
659,55.0,4.0,8.0,43.0,2018/04/12
661,152.0,61.0,91.0,0.0,2019/01/31
665,427.0,72.0,8.0,347.0,2020/10/14
668,2343.0,1151.0,1178.0,14.0,2021/06/10
671,3446.0,1428.0,2018.0,0.0,03/26/2015
674,682.0,2.0,275.0,405.0,2020/04/14
675,3001.0,645.0,721.0,1635.0,2019/04/23
677,4350.0,946.0,2304.0,1100.0,10/24/2013
678,172.0,81.0,91.0,0.0,2020/01/31
679,6.0,4.0,2.0,0.0,2019/05/02
680,82.0,18.0,23.0,41.0,2021/07/13
683,77.0,77.0,0.0,0.0,2018/11/19
686,37.0,14.0,6.0,17.0,2020/03/04
690,2795.0,1314.0,1481.0,0.0,2021/09/23
692,116.0,31.0,85.0,0.0,2021/05/18
697,88.0,0.0,16.0,72.0,2021/05/21
700,950.0,498.0,452.0,0.0,04/13/2015
