"","dbgap_study_id","male","female","total","date_study","repository"
"123","phs000343.v3.pht003150.v1.p1",579,332,911,"03/12/2013","dbgap"
"124","phs000687.v1.pht003693.v1.p1",905,921,1826,"06/13/2014","dbgap"
"126","phs000509.v1.pht004312.v1.p1",60,28,88,"02/18/2015","dbgap"
"127","phs001512.v1.pht007665.v1.p1",7,10,17,"2018/03/21","dbgap"
"128","phs000280.v7.pht004099.v2.p1",512,614,1126,"2020/06/18","dbgap"
"129","phs000824.v1.pht005138.v1.p1",37,63,100,"11/24/2015","dbgap"
"130","phs000280.v7.pht004100.v5.p1",1224,1399,2623,"2020/06/18","dbgap"
"131","phs001080.v1.pht005370.v1.p1",62,41,103,"04/06/2016","dbgap"
"132","phs001998.v1.pht010505.v1.p1",4,6,10,"2021/06/07","dbgap"
"133","phs000007.v32.pht004363.v4.p13",1267,1535,2802,"2020/12/21","dbgap"
"134","phs000263.v1.pht001236.v1.p1",40,54,94,"06/14/2010","dbgap"
"135","phs001154.v1.pht008375.v1.p1",7278,3340,10618,"2018/09/17","dbgap"
"136","phs000128.v3.pht000552.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"137","phs000416.v2.pht008143.v1.p1",1722,1844,3566,"2018/07/06","dbgap"
"138","phs000553.v1.pht003133.v1.p1",1,4,5,"06/26/2013","dbgap"
"139","phs000285.v3.pht001638.v2.p2",908,1032,1940,"08/20/2013","dbgap"
"140","phs001940.v2.pht009699.v2.p1",19,17,36,"2020/01/31","dbgap"
"141","phs000128.v3.pht000423.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"143","phs000007.v32.pht002429.v1.p13",702,943,1645,"2020/12/21","dbgap"
"144","phs000016.v2.pht000049.v2.p2",802,122,924,"11/27/2009","dbgap"
"145","phs000144.v1.pht000721.v1.p1",165,216,381,"Wed Jan 21 13:20:39 2009","dbgap"
"146","phs000007.v32.pht005153.v3.p13",1459,1552,3011,"2020/12/21","dbgap"
"147","phs001727.v2.pht010103.v1.p1",29,44,73,"2021/08/26","dbgap"
"148","phs000007.v32.pht010754.v1.p13",968,1185,2153,"2020/12/21","dbgap"
"150","phs001933.v1.pht011511.v1.p1",89,24,113,"2021/08/30","dbgap"
"151","phs001074.v1.pht005342.v1.p1",115,135,250,"03/15/2016","dbgap"
"152","phs000617.v1.pht005476.v1.p1",162,128,290,"05/19/2016","dbgap"
"153","phs001778.v1.pht009830.v1.p1",5,6,11,"2020/07/16","dbgap"
"154","phs001348.v2.pht006235.v2.p1",24,21,45,"2017/09/25","dbgap"
"155","phs000895.v1.pht005070.v1.p1",88,72,160,"04/01/2016","dbgap"
"156","phs000268.v1.pht002166.v1.p1",85,96,181,"02/24/2011","dbgap"
"157","phs001446.v2.pht009627.v1.p1",713,1144,1857,"2021/06/24","dbgap"
"158","phs000287.v7.pht001481.v1.p1",2375,3156,5531,"2020/01/23","dbgap"
"159","phs000286.v6.pht001947.v2.p2",1034,1810,2844,"2019/03/11","dbgap"
"160","phs001852.v1.pht009278.v1.p1",216,188,404,"2019/07/26","dbgap"
"161","phs000872.v1.pht004574.v1.p1",18,6,24,"03/24/2015","dbgap"
"162","phs000196.v3.pht004623.v1.p1",2128,1880,4008,"03/24/2015","dbgap"
"163","phs000594.v1.pht006497.v1.p1",3,1,4,"06/12/2017","dbgap"
"164","phs000219.v1.pht001104.v1.p1",664,1054,1718,"01/19/2010","dbgap"
"165","phs002048.v2.pht010314.v1.p1",4,54,58,"2021/03/17","dbgap"
"166","phs000007.v32.pht007771.v3.p13",1439,1696,3135,"2020/12/21","dbgap"
"167","phs000776.v1.pht003949.v1.p1",7,26,33,"08/04/2014","dbgap"
"168","phs001471.v1.pht009800.v1.p1",189,475,664,"2020/01/10","dbgap"
"169","phs001046.v1.pht005296.v1.p1",32,67,99,"2018/06/01","dbgap"
"170","phs000737.v1.pht004444.v1.p1",815,839,1654,"01/29/2015","dbgap"
"171","phs000222.v6.pht002872.v3.p2",535,950,1485,"2019/08/01","dbgap"
"173","phs001485.v2.pht007186.v2.p1",11,13,24,"2021/03/10","dbgap"
"175","phs000455.v1.pht002577.v1.p1",7,3,10,"06/20/2012","dbgap"
"176","phs000007.v32.pht004807.v3.p13",1145,1386,2531,"2020/12/21","dbgap"
"177","phs000128.v3.pht000416.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"178","phs000007.v32.pht001043.v7.p13",1872,2131,4003,"2020/12/21","dbgap"
"179","phs001045.v1.pht009260.v1.p1",169,154,323,"2019/07/25","dbgap"
"180","phs000086.v3.pht000252.v1.p1",738,650,1388,"11/04/2014","dbgap"
"181","phs000618.v1.pht003304.v1.p1",2046,2304,4350,"10/24/2013","dbgap"
"182","phs000094.v1.pht001134.v1.p1",4000,3507,7507,"04/12/2010","dbgap"
"186","phs001990.v1.pht010017.v1.p1",87,192,279,"2020/03/19","dbgap"
"187","phs000286.v6.pht008766.v1.p2",60,108,168,"2019/03/11","dbgap"
"188","phs001662.v2.pht010074.v1.p1",843,758,1601,"2021/08/19","dbgap"
"189","phs001168.v2.pht007577.v2.p2",755,623,1378,"2019/03/19","dbgap"
"190","phs001011.v2.pht005533.v1.p1",935,633,1568,"2020/07/21","dbgap"
"191","phs001900.v1.pht009632.v1.p1",123,96,219,"2020/03/02","dbgap"
"192","phs000286.v6.pht008788.v1.p2",850,1514,2364,"2019/03/11","dbgap"
"193","phs000571.v3.pht003178.v3.p2",148,100,248,"12/01/2015","dbgap"
"194","phs000007.v32.pht010738.v1.p13",89,75,164,"2020/12/21","dbgap"
"195","phs000916.v1.pht004736.v1.p1",516,283,799,"07/26/2016","dbgap"
"197","phs002417.v1.pht011273.v1.p1",1578,1507,3085,"2021/06/03","dbgap"
"198","phs000257.v3.pht001249.v3.p1",29,33,62,"2018/09/19","dbgap"
"199","phs001814.v1.pht009007.v1.p1",149,130,279,"2019/06/03","dbgap"
"200","phs000020.v2.pht000668.v1.p1",1291,2449,3740,"Mon Oct 27 16:32:34 2008","dbgap"
"201","phs001841.v1.pht009905.v1.p1",732,619,1351,"2020/06/02","dbgap"
"203","phs002023.v1.pht010194.v1.p1",3,11,14,"2020/05/06","dbgap"
"204","phs000171.v1.pht000764.v1.p1",636,1284,1920,"12/11/2009","dbgap"
"205","phs000999.v3.pht005182.v3.p1",130,112,242,"2019/11/22","dbgap"
"209","phs002433.v1.pht011258.v1.p1",22,16,38,"2021/05/27","dbgap"
"211","phs000128.v3.pht000505.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"212","phs001311.v1.pht007935.v1.p1",35,26,61,"2018/05/15","dbgap"
"213","phs001062.v5.pht005261.v3.p2",793,206,999,"2021/05/21","dbgap"
"215","phs000340.v3.pht002208.v2.p1",73,33,106,"04/10/2014","dbgap"
"216","phs000266.v4.pht001264.v4.p1",71,43,114,"09/09/2013","dbgap"
"217","phs001278.v1.pht006269.v1.p1",83,111,194,"06/16/2017","dbgap"
"220","phs001419.v1.pht007096.v1.p1",215,213,428,"2017/12/04","dbgap"
"221","phs001173.v1.pht005670.v1.p1",2521,812,3333,"2017/09/15","dbgap"
"222","phs000128.v3.pht000414.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"223","phs000767.v1.pht003929.v1.p1",37,12,49,"07/03/2014","dbgap"
"224","phs000652.v1.pht003456.v1.p1",4326,2485,6811,"09/03/2013","dbgap"
"225","phs002506.v1.pht011537.v1.p1",4037,3056,7093,"2021/09/29","dbgap"
"226","phs001278.v1.pht006267.v1.p1",85,111,196,"06/16/2017","dbgap"
"227","phs001769.v1.pht008627.v1.p1",4,2,6,"2019/01/17","dbgap"
"228","phs000789.v1.pht004291.v1.p1",998,1409,2407,"10/21/2015","dbgap"
"229","phs000949.v1.pht005225.v1.p1",1310,1847,3157,"02/08/2016","dbgap"
"231","phs000620.v1.pht003895.v1.p1",2722,3549,6271,"03/03/2015","dbgap"
"232","phs001021.v1.pht005265.v1.p1",136,274,410,"02/01/2016","dbgap"
"233","phs001899.v2.pht009568.v2.p1",915,1025,1940,"2020/11/02","dbgap"
"234","phs000286.v6.pht001942.v2.p2",92,176,268,"2019/03/11","dbgap"
"235","phs001607.v3.pht010149.v3.p2",2535,1114,3649,"2021/07/29","dbgap"
"236","phs001311.v1.pht007934.v1.p1",34,26,60,"2018/05/15","dbgap"
"237","phs001662.v2.pht010057.v1.p1",843,758,1601,"2021/08/19","dbgap"
"238","phs000902.v1.pht004668.v1.p1",607,177,784,"01/20/2016","dbgap"
"240","phs000128.v3.pht000436.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"242","phs001733.v1.pht008618.v1.p1",7,10,17,"2019/01/07","dbgap"
"243","phs001331.v2.pht006925.v2.p1",452,296,748,"2019/08/30","dbgap"
"244","phs000895.v1.pht005071.v1.p1",88,72,160,"04/01/2016","dbgap"
"245","phs001238.v2.pht006651.v1.p1",262,363,625,"2018/06/14","dbgap"
"246","phs000280.v7.pht004133.v2.p1",6120,7410,13530,"2020/06/18","dbgap"
"248","phs000983.v1.pht005007.v1.p1",93,419,512,"10/05/2015","dbgap"
"249","phs000128.v3.pht000544.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"250","phs001833.v1.pht009150.v1.p1",134,165,299,"2019/06/14","dbgap"
"251","phs000590.v1.pht008260.v1.p1",33,36,69,"2018/08/03","dbgap"
"252","phs000578.v1.pht007017.v1.p1",49,45,94,"2017/10/11","dbgap"
"253","phs001008.v1.pht005108.v1.p1",913,988,1901,"11/13/2015","dbgap"
"254","phs000362.v1.pht003228.v1.p1",13,2,15,"08/26/2013","dbgap"
"255","phs000987.v1.pht004967.v1.p1",101,83,184,"04/05/2017","dbgap"
"256","phs000128.v3.pht000478.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"257","phs000495.v1.pht002865.v1.p1",601,426,1027,"08/22/2012","dbgap"
"258","phs000459.v1.pht004746.v1.p1",64,51,115,"01/07/2016","dbgap"
"259","phs000588.v1.pht009306.v1.p1",2,6,8,"2019/07/26","dbgap"
"260","phs001272.v1.pht007303.v1.p1",550,481,1031,"2018/11/16","dbgap"
"261","phs000561.v1.pht003033.v1.p1",6,5,11,"11/05/2012","dbgap"
"262","phs000698.v1.pht007678.v1.p1",4,9,13,"2018/03/23","dbgap"
"263","phs000285.v3.pht001860.v2.p2",152,181,333,"08/20/2013","dbgap"
"264","phs000789.v1.pht004288.v1.p1",1065,1477,2542,"10/21/2015","dbgap"
"267","phs001682.v2.pht009762.v1.p1",220,212,432,"2021/08/06","dbgap"
"268","phs001552.v1.pht008393.v1.p1",1329,497,1826,"2018/09/21","dbgap"
"269","phs001721.v1.pht009720.v1.p1",2234,2574,4808,"2020/02/04","dbgap"
"270","phs000592.v1.pht006600.v1.p1",34,32,66,"07/12/2017","dbgap"
"271","phs001232.v4.pht006078.v4.p2",2069,2169,4238,"2021/08/23","dbgap"
"272","phs001373.v2.pht006701.v2.p2",18,15,33,"2019/10/16","dbgap"
"273","phs001619.v3.pht008176.v3.p1",210,215,425,"2021/03/10","dbgap"
"274","phs001424.v1.pht006999.v1.p1",7,5,12,"2017/10/10","dbgap"
"275","phs001512.v1.pht007668.v1.p1",7,10,17,"2018/03/21","dbgap"
"277","phs000336.v1.pht002218.v1.p1",9338,2179,11517,"04/21/2011","dbgap"
"278","phs001235.v1.pht008448.v1.p1",2,3,5,"2019/03/21","dbgap"
"279","phs000287.v7.pht003701.v2.p1",671,1512,2183,"2020/01/23","dbgap"
"281","phs000285.v3.pht001807.v2.p2",874,980,1854,"08/20/2013","dbgap"
"282","phs002464.v1.pht011332.v1.p1",12,4,16,"2021/07/21","dbgap"
"283","phs000285.v3.pht001874.v1.p2",1,6,7,"08/20/2013","dbgap"
"285","phs000128.v3.pht000452.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"286","phs000285.v3.pht001758.v2.p2",867,970,1837,"08/20/2013","dbgap"
"287","phs000701.v1.pht005517.v1.p1",48,43,91,"06/01/2017","dbgap"
"288","phs001927.v1.pht011580.v1.p1",1224,1075,2299,"2021/09/24","dbgap"
"289","phs000285.v3.pht001697.v2.p2",947,1065,2012,"08/20/2013","dbgap"
"290","phs001024.v5.pht005116.v2.p1",84,44,128,"2021/05/20","dbgap"
"291","phs000698.v1.pht007680.v1.p1",17,31,48,"2018/03/23","dbgap"
"292","phs000572.v8.pht004306.v5.p4",4582,6331,10913,"2019/11/19","dbgap"
"293","phs001793.v1.pht008900.v1.p1",21,12,33,"2020/08/04","dbgap"
"294","phs000804.v1.pht005376.v1.p1",53,49,102,"09/06/2016","dbgap"
"297","phs001522.v1.pht007728.v1.p1",1915,1898,3813,"2018/04/05","dbgap"
"298","phs000581.v1.pht003205.v1.p1",22,29,51,"06/04/2013","dbgap"
"299","phs002319.v1.pht010926.v1.p1",716,813,1529,"2021/02/05","dbgap"
"300","phs001576.v2.pht008218.v2.p2",35,17,52,"2019/09/27","dbgap"
"301","phs000206.v5.pht003729.v2.p3",4813,4624,9437,"08/18/2015","dbgap"
"302","phs001612.v1.pht009498.v1.p1",811,943,1754,"2019/11/13","dbgap"
"305","phs001331.v2.pht006936.v2.p1",542,362,904,"2019/08/30","dbgap"
"306","phs000888.v1.pht005584.v1.p1",6319,7428,13747,"08/12/2016","dbgap"
"309","phs001534.v1.pht008518.v1.p1",26,4402,4428,"2019/09/16","dbgap"
"310","phs001982.v1.pht010003.v1.p1",26,36,62,"2020/03/19","dbgap"
"311","phs001468.v3.pht009555.v1.p1",1298,1450,2748,"2021/09/23","dbgap"
"312","phs000007.v32.pht003462.v4.p13",1570,1782,3352,"2020/12/21","dbgap"
"313","phs000791.v2.pht004593.v1.p1",21,23,44,"2020/01/10","dbgap"
"314","phs000280.v7.pht004102.v5.p1",1224,1399,2623,"2020/06/18","dbgap"
"315","phs001272.v1.pht007302.v1.p1",550,481,1031,"2018/11/16","dbgap"
"316","phs000745.v1.pht003848.v1.p1",10,10,20,"05/19/2014","dbgap"
"317","phs000540.v1.pht003047.v1.p1",5,3,8,"11/08/2012","dbgap"
"318","phs000209.v13.pht003610.v1.p3",2747,2884,5631,"11/05/2014","dbgap"
"319","phs001398.v1.pht007140.v1.p1",1734,256,1990,"2018/08/06","dbgap"
"320","phs000888.v1.pht005560.v1.p1",423,429,852,"08/12/2016","dbgap"
"321","phs000343.v3.pht003146.v1.p1",66,34,100,"03/12/2013","dbgap"
"323","phs000007.v32.pht010750.v1.p13",4989,6140,11129,"2020/12/21","dbgap"
"324","phs002003.v1.pht010106.v1.p1",19,19,38,"2020/04/06","dbgap"
"325","phs001326.v1.pht007832.v1.p1",20,3,23,"2018/04/16","dbgap"
"326","phs000771.v2.pht003981.v2.p1",72,29,101,"2017/10/25","dbgap"
"327","phs000742.v1.pht008122.v1.p1",975,1000,1975,"2018/07/23","dbgap"
"328","phs000575.v2.pht005900.v2.p1",176,213,389,"2020/02/14","dbgap"
"329","phs000955.v1.pht005449.v1.p1",1744,2385,4129,"06/09/2016","dbgap"
