"","dbgap_study_id","male","female","total","date_study","repository"
"5307","phs000598.v2.pht003325.v2.p2",42,9,51,"10/28/2013","dbgap"
"5308","phs001027.v4.pht005217.v3.p1",94,61,155,"2021/06/23","dbgap"
"5309","phs002088.v2.pht010652.v1.p1",22,18,40,"2021/06/16","dbgap"
"5310","phs000590.v1.pht008277.v1.p1",26,28,54,"2018/08/03","dbgap"
"5311","phs000309.v2.pht001999.v2.p2",903,1023,1926,"10/19/2011","dbgap"
"5313","phs000007.v32.pht000101.v8.p13",1491,1662,3153,"2020/12/21","dbgap"
"5314","phs000285.v3.pht001856.v2.p2",304,440,744,"08/20/2013","dbgap"
"5316","phs000128.v3.pht000507.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5317","phs001012.v1.pht005551.v1.p1",549,628,1177,"06/22/2016","dbgap"
"5318","phs001333.v2.pht006525.v2.p1",9,10,19,"2019/08/29","dbgap"
"5319","phs001434.v2.pht009859.v1.p1",47,18,65,"2021/06/23","dbgap"
"5320","phs001620.v1.pht008181.v1.p1",692,1360,2052,"2018/06/30","dbgap"
"5321","phs000128.v3.pht000489.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5323","phs001488.v1.pht007377.v1.p1",241,270,511,"2018/02/08","dbgap"
"5324","phs001807.v1.pht008977.v1.p1",54,33,87,"2019/06/11","dbgap"
"5325","phs000209.v13.pht001110.v8.p3",3866,4521,8387,"11/05/2014","dbgap"
"5326","phs001758.v1.pht008611.v1.p1",2,8,10,"2018/12/31","dbgap"
"5327","phs000091.v2.pht000115.v2.p1",2604,3429,6033,"08/24/2009","dbgap"
"5328","phs001279.v1.pht007218.v1.p1",8,16,24,"2017/12/08","dbgap"
"5330","phs000287.v7.pht001472.v1.p1",2375,3156,5531,"2020/01/23","dbgap"
"5331","phs001998.v1.pht010503.v1.p1",4,6,10,"2021/06/07","dbgap"
"5332","phs001513.v1.pht007356.v1.p1",71,38,109,"2018/01/18","dbgap"
"5333","phs000280.v7.pht004035.v2.p1",4883,6019,10902,"2020/06/18","dbgap"
"5335","phs001210.v1.pht005963.v1.p1",2501,2834,5335,"11/30/2016","dbgap"
"5337","phs000374.v1.pht002356.v1.p1",4,3,7,"08/31/2011","dbgap"
"5338","phs000086.v3.pht000626.v1.p1",24,36,60,"11/04/2014","dbgap"
"5339","phs000220.v2.pht006616.v1.p2",9725,11407,21132,"2018/06/11","dbgap"
"5341","phs001084.v1.pht005328.v1.p1",8,10,18,"03/07/2016","dbgap"
"5342","phs001392.v1.pht006901.v1.p1",1,1,2,"2017/09/22","dbgap"
"5343","phs000209.v13.pht003605.v1.p3",2813,3040,5853,"11/05/2014","dbgap"
"5345","phs000286.v6.pht008790.v1.p2",938,1570,2508,"2019/03/11","dbgap"
"5346","phs000594.v1.pht006492.v1.p1",5,3,8,"06/12/2017","dbgap"
"5347","phs000019.v1.pht000064.v1.p1",638,788,1426,"Thu Jan 17 21:45:39 2008","dbgap"
"5348","phs000589.v1.pht009195.v1.p1",9,127,136,"2019/06/14","dbgap"
"5350","phs000128.v3.pht000523.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5351","phs000280.v7.pht004034.v2.p1",5440,6657,12097,"2020/06/18","dbgap"
"5352","phs001554.v1.pht007609.v1.p1",1075,1817,2892,"2018/03/09","dbgap"
"5353","phs001289.v1.pht007797.v1.p1",16,13,29,"2018/04/16","dbgap"
"5354","phs000766.v1.pht003941.v1.p1",2383,2371,4754,"03/26/2015","dbgap"
"5355","phs002446.v1.pht011403.v1.p1",3,9,12,"2021/07/21","dbgap"
"5356","phs000280.v7.pht004147.v2.p1",6784,8156,14940,"2020/06/18","dbgap"
"5357","phs000285.v3.pht001835.v2.p2",880,993,1873,"08/20/2013","dbgap"
"5358","phs001370.v1.pht006646.v1.p1",28,21,49,"07/06/2017","dbgap"
"5359","phs002105.v1.pht010706.v1.p1",69,150,219,"2020/12/01","dbgap"
"5360","phs000286.v6.pht008775.v1.p2",931,1562,2493,"2019/03/11","dbgap"
"5361","phs000911.v1.pht004979.v1.p1",3375,3294,6669,"05/06/2016","dbgap"
"5362","phs001448.v1.pht007029.v1.p1",27,31,58,"2017/10/19","dbgap"
"5363","phs001903.v1.pht009893.v1.p1",18421,19016,37437,"2020/09/03","dbgap"
"5364","phs000579.v1.pht003279.v1.p1",26,25,51,"11/04/2013","dbgap"
"5365","phs001488.v1.pht007430.v1.p1",260,293,553,"2018/02/08","dbgap"
"5366","phs001817.v1.pht009133.v1.p1",85,177,262,"2019/06/04","dbgap"
"5368","phs000238.v1.pht002008.v1.p1",2300,2753,5053,"11/15/2013","dbgap"
"5369","phs001488.v1.pht007429.v1.p1",260,293,553,"2018/02/08","dbgap"
"5370","phs001803.v1.pht008937.v1.p1",223,696,919,"2019/04/04","dbgap"
"5371","phs000779.v1.pht003961.v1.p1",1193,1209,2402,"07/25/2014","dbgap"
"5372","phs001538.v1.pht008090.v1.p1",102,133,235,"2018/06/01","dbgap"
"5373","phs001357.v1.pht006699.v1.p1",41,33,74,"07/26/2017","dbgap"
"5374","phs001741.v1.pht009166.v1.p1",573,332,905,"2020/01/07","dbgap"
"5375","phs001073.v2.pht005953.v2.p1",18,47,65,"2020/12/18","dbgap"
"5377","phs002037.v1.pht010267.v1.p1",126,112,238,"2020/06/10","dbgap"
"5378","phs001774.v1.pht008805.v1.p1",22,28,50,"2020/02/27","dbgap"
"5379","phs000410.v1.pht002449.v1.p1",30,135,165,"03/11/2014","dbgap"
"5380","phs000128.v3.pht000560.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5381","phs001647.v1.pht008199.v1.p1",331,183,514,"2018/08/19","dbgap"
"5383","phs001864.v1.pht009263.v1.p1",13,9,22,"2019/07/25","dbgap"
"5384","phs001389.v1.pht006604.v1.p1",6,7,13,"06/27/2017","dbgap"
"5386","phs000343.v3.pht002725.v1.p1",114,74,188,"03/12/2013","dbgap"
"5387","phs001001.v1.pht005655.v1.p1",811,214,1025,"2018/02/28","dbgap"
"5388","phs000285.v3.pht001679.v2.p2",198,251,449,"08/20/2013","dbgap"
"5389","phs000358.v1.pht002243.v1.p1",763,620,1383,"05/23/2011","dbgap"
"5390","phs000621.v1.pht003331.v1.p1",149,66,215,"07/09/2013","dbgap"
"5391","phs000558.v1.pht006228.v1.p1",91,84,175,"03/31/2017","dbgap"
"5392","phs000128.v3.pht000524.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5394","phs001981.v1.pht010700.v1.p1",32,16,48,"2020/12/16","dbgap"
"5395","phs002259.v1.pht011025.v1.p1",5,20,25,"2021/05/28","dbgap"
"5396","phs000017.v3.pht000291.v1.p1",559,522,1081,"Wed Nov 26 07:45:09 2008","dbgap"
"5397","phs000952.v1.pht005321.v1.p1",1540,1332,2872,"03/10/2016","dbgap"
"5399","phs001617.v1.pht010618.v1.p1",105,89,194,"2021/01/12","dbgap"
"5401","phs000518.v1.pht002847.v1.p1",7,17,24,"08/17/2012","dbgap"
"5402","phs000138.v2.pht000619.v2.p1",766,2257,3023,"06/01/2010","dbgap"
"5403","phs001318.v1.pht008018.v1.p1",27,13,40,"2018/05/31","dbgap"
"5404","phs000007.v32.pht000390.v2.p13",1087,1488,2575,"2020/12/21","dbgap"
"5405","phs000553.v1.pht003131.v1.p1",1,4,5,"06/26/2013","dbgap"
"5406","phs000565.v1.pht003076.v1.p1",121,71,192,"12/06/2012","dbgap"
"5407","phs000285.v3.pht001620.v2.p2",8,35,43,"08/20/2013","dbgap"
"5408","phs000550.v1.pht003127.v1.p1",2,1,3,"01/18/2013","dbgap"
"5409","phs001710.v1.pht011291.v1.p1",235,181,416,"2021/06/07","dbgap"
"5410","phs000007.v32.pht005155.v3.p13",1306,1325,2631,"2020/12/21","dbgap"
"5411","phs000542.v1.pht003015.v1.p1",2,2,4,"10/24/2012","dbgap"
"5412","phs001782.v2.pht008799.v2.p1",330,472,802,"2021/07/02","dbgap"
"5413","phs000128.v3.pht000516.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5414","phs000360.v3.pht003253.v2.p1",4448,5427,9875,"08/05/2016","dbgap"
"5415","phs001616.v2.pht008543.v2.p2",11472,13446,24918,"2020/10/27","dbgap"
"5416","phs001771.v1.pht008715.v1.p1",163,280,443,"2021/02/12","dbgap"
"5417","phs001007.v1.pht005069.v1.p1",19,4,23,"11/30/2015","dbgap"
"5418","phs000274.v1.pht001278.v1.p1",742,1558,2300,"11/28/2011","dbgap"
"5419","phs001737.v2.pht008561.v2.p1",2,1,3,"2019/09/18","dbgap"
"5420","phs001590.v2.pht007894.v2.p1",9873,12975,22848,"2021/04/08","dbgap"
"5422","phs001727.v2.pht010100.v1.p1",29,44,73,"2021/08/26","dbgap"
"5423","phs001180.v2.pht006988.v1.p1",2196,2266,4462,"2020/06/29","dbgap"
"5426","phs000482.v1.pht002882.v1.p1",350,267,617,"12/07/2015","dbgap"
"5427","phs001933.v1.pht011514.v1.p1",89,24,113,"2021/08/30","dbgap"
"5428","phs000578.v1.pht007011.v1.p1",49,43,92,"2017/10/11","dbgap"
"5429","phs000280.v7.pht004237.v2.p1",5438,6639,12077,"2020/06/18","dbgap"
"5430","phs000285.v3.pht001810.v2.p2",880,993,1873,"08/20/2013","dbgap"
"5431","phs000007.v32.pht002072.v7.p13",1577,1777,3354,"2020/12/21","dbgap"
"5432","phs000862.v1.pht007837.v1.p1",1,4,5,"2018/04/16","dbgap"
"5433","phs000285.v3.pht001560.v2.p2",947,1065,2012,"08/20/2013","dbgap"
"5435","phs000574.v1.pht005864.v1.p1",4,24,28,"03/06/2017","dbgap"
"5436","phs000549.v1.pht002993.v1.p1",1,5,6,"09/28/2012","dbgap"
"5437","phs001309.v1.pht007913.v1.p1",26,20,46,"2018/05/15","dbgap"
"5438","phs000575.v2.pht005896.v2.p1",157,187,344,"2020/02/14","dbgap"
"5439","phs000086.v3.pht000353.v1.p1",86,124,210,"11/04/2014","dbgap"
"5441","phs001890.v1.pht009545.v1.p1",10,7,17,"2020/05/01","dbgap"
"5442","phs001584.v2.pht009216.v2.p2",45,47,92,"2020/11/13","dbgap"
"5443","phs000343.v3.pht003156.v1.p1",1379,785,2164,"03/12/2013","dbgap"
"5444","phs000285.v3.pht001850.v2.p2",166,196,362,"08/20/2013","dbgap"
"5445","phs001998.v1.pht010504.v1.p1",4,6,10,"2021/06/07","dbgap"
"5447","phs000343.v3.pht002212.v1.p1",8,10,18,"03/12/2013","dbgap"
"5448","phs000494.v1.pht002801.v1.p1",2543,2019,4562,"07/19/2012","dbgap"
"5449","phs001900.v1.pht009633.v1.p1",123,96,219,"2020/03/02","dbgap"
"5450","phs001065.v1.pht005431.v1.p1",296,313,609,"05/24/2016","dbgap"
"5451","phs001468.v3.pht009553.v1.p1",1298,1450,2748,"2021/09/23","dbgap"
"5452","phs002292.v1.pht011106.v1.p1",11,12,23,"2021/04/09","dbgap"
"5453","phs001564.v3.pht007992.v3.p1",49,41,90,"2020/02/13","dbgap"
"5455","phs000128.v3.pht000493.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5456","phs000711.v7.pht003723.v6.p2",1239,1193,2432,"2021/03/24","dbgap"
"5459","phs000007.v32.pht000163.v8.p13",1349,1388,2737,"2020/12/21","dbgap"
"5460","phs000588.v1.pht009297.v1.p1",35,134,169,"2019/07/26","dbgap"
"5461","phs000751.v1.pht003869.v1.p1",1090,526,1616,"05/30/2014","dbgap"
"5462","phs001024.v5.pht005118.v2.p1",84,44,128,"2021/05/20","dbgap"
"5463","phs000285.v3.pht001745.v2.p2",873,956,1829,"08/20/2013","dbgap"
"5464","phs000606.v1.pht007574.v1.p1",745,276,1021,"2018/03/09","dbgap"
"5465","phs002484.v1.pht011399.v1.p1",49,37,86,"2021/07/14","dbgap"
"5466","phs001664.v1.pht008440.v1.p1",827,392,1219,"2018/10/02","dbgap"
"5467","phs001329.v2.pht007180.v2.p1",1,4,5,"2019/05/07","dbgap"
"5468","phs000128.v3.pht000522.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5469","phs000171.v1.pht000770.v1.p1",636,1282,1918,"12/11/2009","dbgap"
"5470","phs001317.v1.pht008047.v1.p1",25,34,59,"2018/06/01","dbgap"
"5471","phs000574.v1.pht005869.v1.p1",41,960,1001,"03/06/2017","dbgap"
"5472","phs001289.v1.pht007798.v1.p1",12,11,23,"2018/04/16","dbgap"
"5473","phs001310.v1.pht006869.v1.p1",29,25,54,"2017/09/18","dbgap"
"5474","phs000007.v32.pht002430.v4.p13",1580,1791,3371,"2020/12/21","dbgap"
"5475","phs000839.v1.pht004390.v1.p1",1,2,3,"12/01/2014","dbgap"
"5476","phs000086.v3.pht000267.v1.p1",760,678,1438,"11/04/2014","dbgap"
"5477","phs002002.v1.pht010191.v1.p1",6,2,8,"2020/04/27","dbgap"
"5478","phs000578.v1.pht007012.v1.p1",49,44,93,"2017/10/11","dbgap"
"5479","phs000019.v1.pht000181.v1.p1",638,788,1426,"Thu Jan 17 21:45:42 2008","dbgap"
"5480","phs000205.v6.pht001430.v6.p2",21065,14622,35687,"06/13/2016","dbgap"
"5481","phs000492.v3.pht002708.v3.p2",52,55,107,"2018/10/19","dbgap"
"5482","phs001749.v2.pht009319.v2.p1",911,1204,2115,"2021/05/14","dbgap"
"5483","phs001311.v1.pht007924.v1.p1",34,26,60,"2018/05/15","dbgap"
"5484","phs000144.v1.pht000725.v1.p1",165,216,381,"Wed Jan 21 13:20:49 2009","dbgap"
"5485","phs001876.v1.pht009388.v1.p1",611,405,1016,"2019/08/10","dbgap"
"5486","phs000128.v3.pht000494.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5487","phs000128.v3.pht000553.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5489","phs000603.v1.pht007551.v1.p1",4,9,13,"2018/03/06","dbgap"
"5491","phs001270.v1.pht006253.v1.p1",3,7,10,"2017/10/04","dbgap"
"5493","phs000252.v2.pht001268.v2.p1",7,4,11,"03/07/2011","dbgap"
"5494","phs000007.v32.pht000088.v7.p13",1054,1245,2299,"2020/12/21","dbgap"
"5495","phs001309.v1.pht007916.v1.p1",51,54,105,"2018/05/15","dbgap"
"5496","phs000180.v3.pht000792.v2.p2",2152,1886,4038,"05/20/2015","dbgap"
"5498","phs000086.v3.pht000217.v1.p1",756,677,1433,"11/04/2014","dbgap"
"5499","phs000007.v32.pht009758.v2.p13",871,1085,1956,"2020/12/21","dbgap"
"5500","phs000196.v3.pht000876.v1.p1",2150,1899,4049,"03/24/2015","dbgap"
"5501","phs000777.v1.pht003971.v1.p1",4,6,10,"08/20/2014","dbgap"
"5502","phs001515.v2.pht009566.v2.p2",6402,2702,9104,"2021/09/09","dbgap"
"5503","phs000128.v3.pht000598.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5504","phs000196.v3.pht000877.v2.p1",2147,1899,4046,"03/24/2015","dbgap"
"5505","phs000285.v3.pht001695.v2.p2",900,1000,1900,"08/20/2013","dbgap"
"5506","phs000335.v3.pht002117.v2.p2",2769,1622,4391,"07/25/2014","dbgap"
"5507","phs001270.v1.pht006251.v1.p1",3,7,10,"2017/10/04","dbgap"
"5508","phs000306.v4.pht001908.v2.p1",9454,13,9467,"04/10/2014","dbgap"
"5509","phs000793.v1.pht004022.v1.p1",13,5,18,"09/12/2014","dbgap"
"5510","phs001749.v2.pht009318.v2.p1",911,1204,2115,"2021/05/14","dbgap"
"5511","phs001488.v1.pht007381.v1.p1",237,270,507,"2018/02/08","dbgap"
"5513","phs000086.v3.pht000231.v1.p1",761,680,1441,"11/04/2014","dbgap"
"5514","phs001332.v2.pht007452.v2.p1",2,2,4,"2019/11/08","dbgap"
"5517","phs000007.v32.pht002891.v6.p13",1414,1723,3137,"2020/12/21","dbgap"
"5520","phs001976.v2.pht009902.v1.p1",4,8,12,"2020/03/31","dbgap"
"5522","phs000160.v1.pht000733.v1.p1",2598,2867,5465,"Fri Feb 20 11:36:06 2009","dbgap"
"5523","phs000477.v1.pht002687.v1.p1",12,9,21,"04/16/2012","dbgap"
"5524","phs000007.v32.pht006024.v4.p13",7046,8098,15144,"2020/12/21","dbgap"
"5525","phs002025.v1.pht010237.v1.p1",2281,1718,3999,"2020/07/20","dbgap"
"5526","phs001065.v1.pht005416.v1.p1",296,313,609,"05/24/2016","dbgap"
"5527","phs000209.v13.pht002192.v1.p3",115,135,250,"11/05/2014","dbgap"
"5528","phs001908.v2.pht009534.v2.p1",5,7,12,"2021/04/27","dbgap"
"5529","phs000228.v4.pht002157.v1.p1",522,583,1105,"03/21/2017","dbgap"
"5532","phs000594.v1.pht006504.v1.p1",6,3,9,"06/12/2017","dbgap"
"5534","phs000017.v3.pht000056.v1.p1",93,85,178,"Wed Nov 26 07:33:36 2008","dbgap"
"5535","phs002146.v1.pht011086.v1.p1",2,1,3,"2021/03/30","dbgap"
"5536","phs001065.v1.pht005435.v1.p1",296,313,609,"05/24/2016","dbgap"
"5537","phs002392.v1.pht011253.v1.p1",18,23,41,"2021/07/13","dbgap"
"5538","phs002035.v1.pht010415.v1.p1",25,34,59,"2020/07/21","dbgap"
"5539","phs000309.v2.pht001997.v2.p2",904,1024,1928,"10/19/2011","dbgap"
"5540","phs001199.v1.pht005704.v1.p1",138,59,197,"08/29/2016","dbgap"
"5541","phs000303.v1.pht001898.v1.p1",980,1000,1980,"10/25/2011","dbgap"
"5542","phs000007.v32.pht000105.v8.p13",1132,1197,2329,"2020/12/21","dbgap"
"5543","phs000007.v32.pht002148.v5.p13",1277,1488,2765,"2020/12/21","dbgap"
"5546","phs002389.v1.pht011094.v1.p1",38,22,60,"2021/04/06","dbgap"
"5547","phs001331.v2.pht006933.v2.p1",144,92,236,"2019/08/30","dbgap"
"5548","phs001313.v1.pht007970.v1.p1",1,3,4,"2018/05/17","dbgap"
"5549","phs000171.v1.pht000757.v1.p1",165,316,481,"12/11/2009","dbgap"
"5550","phs000171.v1.pht000754.v1.p1",326,665,991,"12/11/2009","dbgap"
"5551","phs000971.v3.pht004918.v2.p1",646,831,1477,"2021/06/07","dbgap"
"5552","phs002444.v1.pht011384.v1.p1",392,323,715,"2021/07/30","dbgap"
"5553","phs001430.v2.pht008084.v2.p1",13,12,25,"2020/02/06","dbgap"
"5554","phs000166.v2.pht000727.v1.p1",2164,1882,4046,"09/03/2009","dbgap"
"5555","phs001700.v1.pht008501.v1.p1",39,85,124,"2020/11/24","dbgap"
"5556","phs001200.v1.pht005925.v1.p1",4,3,7,"11/16/2016","dbgap"
"5557","phs001332.v2.pht007458.v2.p1",157,187,344,"2019/11/08","dbgap"
"5558","phs000476.v1.pht002671.v1.p1",10,10,20,"04/16/2012","dbgap"
"5559","phs000415.v1.pht002412.v1.p1",137,119,256,"08/13/2015","dbgap"
"5561","phs000415.v1.pht002413.v1.p1",91,79,170,"08/13/2015","dbgap"
"5562","phs000433.v1.pht002434.v1.p1",2233,3635,5868,"04/04/2012","dbgap"
"5564","phs001800.v2.pht008925.v2.p1",13,2,15,"2020/12/16","dbgap"
"5565","phs002493.v1.pht011461.v1.p1",57,32,89,"2021/09/21","dbgap"
"5566","phs000285.v3.pht001781.v2.p2",847,930,1777,"08/20/2013","dbgap"
"5567","phs000944.v1.pht004845.v1.p1",2050,2878,4928,"02/05/2016","dbgap"
"5568","phs002023.v1.pht010195.v1.p1",3,11,14,"2020/05/06","dbgap"
"5569","phs002188.v1.pht011031.v1.p1",5,5,10,"2021/03/22","dbgap"
"5570","phs002240.v1.pht010864.v1.p1",30,66,96,"2021/01/15","dbgap"
"5573","phs001473.v1.pht009688.v1.p1",38,23,61,"2020/12/15","dbgap"
"5574","phs000507.v2.pht002929.v2.p2",427,773,1200,"2018/11/05","dbgap"
"5575","phs000285.v3.pht001564.v2.p2",947,1065,2012,"08/20/2013","dbgap"
"5577","phs000292.v1.pht001526.v1.p1",1051,779,1830,"07/15/2010","dbgap"
"5578","phs001101.v1.pht005366.v1.p1",599,482,1081,"05/09/2016","dbgap"
"5579","phs001729.v2.pht010129.v1.p1",11,8,19,"2021/08/26","dbgap"
"5580","phs000128.v3.pht000418.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5581","phs000007.v32.pht000193.v8.p13",1732,1997,3729,"2020/12/21","dbgap"
"5584","phs001009.v1.pht005350.v1.p1",2,6,8,"03/28/2016","dbgap"
"5586","phs000341.v2.pht002673.v2.p1",150,88,238,"11/21/2016","dbgap"
"5587","phs001458.v1.pht007781.v1.p1",990,1582,2572,"2018/04/12","dbgap"
"5588","phs001080.v1.pht005369.v1.p1",62,41,103,"04/06/2016","dbgap"
"5590","phs001024.v5.pht005693.v1.p1",84,44,128,"2021/05/20","dbgap"
"5591","phs001315.v1.pht006191.v1.p1",4482,4243,8725,"2018/05/18","dbgap"
"5593","phs000007.v32.pht002890.v6.p13",1416,1724,3140,"2020/12/21","dbgap"
"5594","phs000298.v4.pht002283.v3.p3",7742,4936,12678,"2018/06/22","dbgap"
"5596","phs000286.v6.pht001969.v2.p2",1228,2061,3289,"2019/03/11","dbgap"
"5598","phs001481.v1.pht008132.v1.p1",238,218,456,"2018/06/07","dbgap"
"5599","phs001037.v1.pht005917.v1.p1",10165,10037,20202,"11/09/2016","dbgap"
"5600","phs000093.v2.pht000699.v2.p2",4067,1555,5622,"10/09/2009","dbgap"
"5601","phs000962.v1.pht006967.v1.p1",221,156,377,"2017/10/02","dbgap"
"5603","phs000007.v32.pht000683.v7.p13",949,1009,1958,"2020/12/21","dbgap"
"5605","phs001686.v1.pht008566.v1.p1",3,3,6,"2018/11/26","dbgap"
"5606","phs001289.v1.pht007783.v1.p1",16,13,29,"2018/04/16","dbgap"
"5608","phs000007.v32.pht002076.v7.p13",1580,2026,3606,"2020/12/21","dbgap"
"5609","phs001979.v1.pht010001.v1.p1",5,2,7,"2020/03/19","dbgap"
"5611","phs001394.v1.pht006950.v1.p1",314,451,765,"2017/09/22","dbgap"
"5612","phs000823.v1.pht005049.v1.p1",178,209,387,"05/11/2016","dbgap"
"5613","phs000571.v3.pht003181.v3.p2",1654,1221,2875,"12/01/2015","dbgap"
"5614","phs000007.v32.pht006011.v1.p13",110,178,288,"2020/12/21","dbgap"
"5616","phs001032.v6.pht005100.v2.p2",826,308,1134,"2021/05/20","dbgap"
"5617","phs000607.v3.pht007881.v1.p2",4586,4909,9495,"2018/05/01","dbgap"
"5619","phs001430.v2.pht008073.v2.p1",13,9,22,"2020/02/06","dbgap"
"5620","phs000595.v1.pht006639.v1.p1",285,329,614,"07/05/2017","dbgap"
"5621","phs000086.v3.pht000285.v1.p1",731,667,1398,"11/04/2014","dbgap"
"5622","phs000917.v1.pht004740.v1.p1",5982,1309,7291,"01/05/2016","dbgap"
"5623","phs000588.v1.pht009293.v1.p1",9,17,26,"2019/07/26","dbgap"
"5624","phs001430.v2.pht009849.v1.p1",3,4,7,"2020/02/06","dbgap"
"5625","phs002121.v1.pht011550.v1.p1",63,57,120,"2021/09/14","dbgap"
"5626","phs002311.v1.pht010935.v1.p1",40,66,106,"2021/03/30","dbgap"
"5629","phs000219.v1.pht001063.v1.p1",200,311,511,"01/19/2010","dbgap"
"5631","phs000957.v1.pht004854.v1.p1",3625,5582,9207,"07/31/2015","dbgap"
"5632","phs000285.v3.pht001783.v2.p2",863,967,1830,"08/20/2013","dbgap"
"5633","phs002481.v1.pht011373.v1.p1",82,63,145,"2021/07/13","dbgap"
"5634","phs000280.v7.pht006434.v1.p1",284,298,582,"2020/06/18","dbgap"
"5636","phs001780.v1.pht008714.v1.p1",379,316,695,"2019/02/11","dbgap"
"5637","phs000285.v3.pht001812.v2.p2",84,49,133,"08/20/2013","dbgap"
"5638","phs001297.v1.pht006201.v1.p1",47,50,97,"06/14/2017","dbgap"
"5639","phs001737.v2.pht008560.v2.p1",2,1,3,"2019/09/18","dbgap"
"5642","phs001326.v1.pht007825.v1.p1",29,4,33,"2018/04/16","dbgap"
"5643","phs000588.v1.pht009310.v1.p1",4,10,14,"2019/07/26","dbgap"
"5644","phs001122.v1.pht008641.v1.p1",137,102,239,"2021/03/23","dbgap"
"5645","phs000007.v32.pht001044.v8.p13",802,1116,1918,"2020/12/21","dbgap"
"5648","phs001608.v2.pht009734.v1.p1",289,351,640,"2021/09/29","dbgap"
"5649","phs000445.v1.pht002505.v1.p1",17,3,20,"10/25/2012","dbgap"
"5650","phs000703.v1.pht003668.v1.p1",1880,1378,3258,"07/23/2014","dbgap"
"5651","phs001486.v3.pht008700.v3.p3",545,531,1076,"2021/10/06","dbgap"
"5652","phs001163.v1.pht011095.v1.p1",181,167,348,"2021/04/06","dbgap"
"5653","phs001427.v2.pht007485.v2.p1",13,4,17,"2021/01/26","dbgap"
"5654","phs001278.v1.pht006271.v1.p1",85,111,196,"06/16/2017","dbgap"
"5656","phs000588.v1.pht009285.v1.p1",2,7,9,"2019/07/26","dbgap"
"5657","phs001207.v3.pht005793.v3.p1",376,959,1335,"2021/07/09","dbgap"
"5658","phs001428.v1.pht008388.v1.p1",16,1831,1847,"2018/09/20","dbgap"
"5659","phs000286.v6.pht008737.v1.p2",1009,1780,2789,"2019/03/11","dbgap"
"5662","phs001804.v1.pht008962.v1.p1",2357,790,3147,"2019/04/23","dbgap"
"5663","phs000280.v7.pht004127.v2.p1",878,1183,2061,"2020/06/18","dbgap"
"5664","phs000280.v7.pht004223.v2.p1",2976,3485,6461,"2020/06/18","dbgap"
"5665","phs001303.v1.pht006614.v1.p1",1437,72,1509,"06/28/2017","dbgap"
"5666","phs000518.v1.pht002850.v1.p1",7,17,24,"08/17/2012","dbgap"
"5667","phs000559.v1.pht003615.v1.p1",7858,6558,14416,"12/16/2013","dbgap"
"5669","phs000128.v3.pht000525.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"5670","phs000286.v6.pht001946.v2.p2",842,1498,2340,"2019/03/11","dbgap"
"5671","phs000595.v1.pht006635.v1.p1",285,329,614,"07/05/2017","dbgap"
"5672","phs001788.v1.pht008815.v1.p1",3910,867,4777,"2019/03/05","dbgap"
"5673","phs001875.v1.pht009652.v1.p1",3,3,6,"2019/12/06","dbgap"
"5676","phs001207.v3.pht005791.v3.p1",569,827,1396,"2021/07/09","dbgap"
"5677","phs000652.v1.pht003455.v1.p1",4326,2485,6811,"09/03/2013","dbgap"
"5678","phs001625.v1.pht008184.v1.p1",112,140,252,"2018/06/30","dbgap"
"5680","phs000280.v7.pht004048.v5.p1",1539,1568,3107,"2020/06/18","dbgap"
"5682","phs000490.v1.pht002966.v1.p1",1445,1506,2951,"2018/05/07","dbgap"
"5683","phs000545.v1.pht003763.v1.p1",482,282,764,"06/10/2015","dbgap"
"5685","phs000720.v4.pht003879.v4.p1",509,294,803,"2021/03/24","dbgap"
"5686","phs000738.v1.pht003834.v1.p1",117,99,216,"05/07/2014","dbgap"
"5687","phs000285.v3.pht001588.v2.p2",941,1061,2002,"08/20/2013","dbgap"
"5688","phs001770.v1.pht008685.v1.p1",196,160,356,"2019/02/01","dbgap"
"5689","phs001441.v1.pht007112.v1.p1",271,294,565,"2017/11/06","dbgap"
"5690","phs000536.v2.pht002949.v2.p1",22,12,34,"02/11/2016","dbgap"
"5691","phs000280.v7.pht004109.v2.p1",1489,1706,3195,"2020/06/18","dbgap"
"5692","phs000285.v3.pht001665.v2.p2",909,1016,1925,"08/20/2013","dbgap"
"5693","phs001458.v1.pht007780.v1.p1",721,1165,1886,"2018/04/12","dbgap"
"5695","phs001826.v1.pht009137.v1.p1",2995,3119,6114,"2019/07/16","dbgap"
"5696","phs001481.v1.pht008128.v1.p1",238,218,456,"2018/06/07","dbgap"
"5697","phs000166.v2.pht000701.v1.p1",500,313,813,"09/03/2009","dbgap"
