study_id,dbgap_id,male,female,unknown
2805,phs001007.v1.p1,53,12,0
2806,phs001008.v1.p1,419,605,877
2808,phs001009.v1.p1,73,105,4
2809,phs000474.v3.p2,285,261,10
2817,phs001012.v1.p1,549,628,953
2819,phs001014.v1.p1,72,101,0
2820,phs000741.v2.p1,458,510,7576
2821,phs001015.v1.p1,24,56,0
2822,phs001016.v1.p1,44,0,92
2824,phs001018.v1.p1,0,0,22
2827,phs001021.v1.p1,136,274,0
2828,phs001022.v1.p1,399,94,6
2829,phs001023.v1.p1,601,0,0
2833,phs001026.v1.p1,134,116,0
2836,phs001028.v1.p1,0,10,0
2838,phs001030.v1.p1,246,272,0
2843,phs001033.v1.p1,279,257,1529
2844,phs001034.v1.p1,0,0,4141
2846,phs001036.v1.p1,70,39,0
2847,phs001037.v1.p1,3570,3442,13190
2849,phs001038.v1.p1,9,11,0
2855,phs001041.v1.p1,156,100,0
2857,phs001043.v1.p1,0,4658,0
2858,phs001044.v1.p1,0,35,0
2859,phs001045.v1.p1,169,154,0
2860,phs001046.v1.p1,360,555,0
2864,phs001049.v1.p1,57,48,0
2865,phs001050.v1.p1,0,354,0
2868,phs001053.v1.p1,166,232,1260
2870,phs001055.v1.p1,413,404,0
2872,phs001005.v2.p1,18,7,6
2873,phs001057.v1.p1,894,99,0
2874,phs000801.v2.p1,5221,5570,0
2877,phs001058.v1.p1,306,197,0
2884,phs000332.v3.p2,29,1888,0
2885,phs001063.v1.p1,0,12,0
2890,phs001064.v1.p1,6,6,0
2891,phs001065.v1.p1,0,0,609
2892,phs001066.v1.p1,23,0,0
2893,phs001067.v1.p1,4,2,0
2906,phs000126.v2.p1,1054,1028,109
2907,phs001071.v1.p1,21,16,13
2919,phs000224.v3.p2,1008,1930,0
2920,phs001072.v1.p1,131,48,0
2932,phs001074.v1.p1,205,235,164
2934,phs001076.v1.p1,2379,2104,146
2938,phs001080.v1.p1,62,41,0
2940,phs000267.v5.p2,9798,5962,0
2941,phs001082.v1.p1,111,86,6
2942,phs001083.v1.p1,0,0,99
2945,phs001084.v1.p1,36,40,0
2946,phs001085.v1.p1,0,0,35
2953,phs001088.v1.p1,0,2392,0
2954,phs000722.v2.p2,539,830,0
2956,phs001090.v1.p1,1203,2122,1607
2957,phs001091.v1.p1,12,7,0
2962,phs001095.v1.p1,427,440,0
2964,phs001097.v1.p1,1072,1154,0
2972,phs001105.v1.p1,20,0,0
2974,phs001106.v1.p1,140,171,69
2975,phs001107.v1.p1,23,28,0
2984,phs001108.v1.p1,0,0,46
2987,phs000816.v2.p1,232,279,0
2988,phs000915.v2.p2,763,0,0
3001,phs000998.v2.p1,21,27,0
3003,phs001112.v1.p1,0,33,0
3006,phs001115.v1.p1,4,2,0
3013,phs001121.v1.p1,3,0,0
3014,phs001122.v1.p1,252,184,360
3016,phs001124.v1.p1,54,257,22
3022,phs001130.v1.p1,96,151,348
3025,phs001133.v1.p1,0,16783,0
3026,phs001134.v1.p1,1122,3493,2
3031,phs001139.v1.p1,0,0,94
3032,phs001140.v1.p1,0,0,5731
3033,phs001141.v1.p1,246,0,0
3038,phs001146.v1.p1,0,53,0
3044,phs001151.v1.p1,12,17,0
3046,phs001152.v1.p1,0,28,0
3047,phs001153.v1.p1,0,38,0
3048,phs001154.v1.p1,7278,3340,0
3051,phs001157.v1.p1,4534,4895,0
3053,phs001159.v1.p1,4,0,0
3057,phs001163.v1.p1,177,163,8
3058,phs001164.v1.p1,22,19,0
3059,phs001165.v1.p1,452,440,8
3072,phs000481.v3.p2,815,800,0
3079,phs001173.v1.p1,2521,812,0
3080,phs001174.v1.p1,0,98,0
3093,phs001178.v1.p1,149,150,1
3094,phs000676.v2.p2,0,193,39
3095,phs001179.v1.p1,0,0,18004
3096,phs000497.v3.p2,256,165,0
3098,phs001181.v1.p1,0,16,0
3104,phs000847.v2.p1,873,1269,350
3108,phs001185.v1.p1,931,0,0
3110,phs001187.v1.p1,0,0,75
3119,phs001191.v1.p1,312,588,0
3120,phs001192.v1.p1,0,0,4
3130,phs001196.v1.p1,2788,2408,0
3132,phs001198.v1.p1,49,44,16
3133,phs001199.v1.p1,276,118,0
3134,phs001200.v1.p1,14,12,0
3137,phs000371.v2.p1,1393,1790,28
3138,phs001202.v1.p1,7506,2713,0
3139,phs001203.v1.p1,2530,1046,1
3141,phs000827.v3.p1,241,351,0
3142,phs001205.v1.p1,155,0,317
3143,phs001206.v1.p1,6,6,0
3156,phs001209.v1.p1,17,63,9
3159,phs001212.v1.p1,50,35,6
3161,phs001214.v1.p1,13,0,0
3163,phs001216.v1.p1,241,206,0
3166,phs001219.v1.p1,236,239,0
3168,phs001221.v1.p1,34736,0,669
3169,phs000768.v2.p1,33,23,43
3172,phs001223.v1.p1,57,0,0
3173,phs001224.v1.p1,9,8,0
3174,phs000488.v2.p1,0,0,430
3176,phs001226.v1.p1,0,0,64
3178,phs000649.v2.p2,517,523,0
3180,phs001229.v1.p1,66,62,0
3184,phs001233.v1.p1,3,3,0
3186,phs001235.v1.p1,2,3,0
3190,phs000707.v2.p1,10,8,0
3193,phs001241.v1.p1,14,22,0
