"ega_stable_id";"male";"female";"unknown";"total";"date_study";"repository"
"EGAS00001000158";"0";"0";"2";"2";"2011-10-20";"EGA"
"EGAS00001000159";"0";"0";"30";"30";"2011-10-25";"EGA"
"EGAS00001000160";"0";"0";"82";"82";"2011-10-25";"EGA"
"EGAS00001000161";"0";"0";"200";"200";"2011-10-27";"EGA"
"EGAS00001000162";"0";"0";"731";"731";"2011-11-02";"EGA"
"EGAS00001000163";"0";"0";"102";"102";"2011-11-02";"EGA"
"EGAS00001000164";"0";"0";"125";"125";"2011-11-04";"EGA"
"EGAS00001000165";"0";"0";"63";"63";"2011-11-14";"EGA"
"EGAS00001000166";"0";"0";"93";"93";"2011-11-14";"EGA"
"EGAS00001000167";"0";"0";"86";"86";"2011-11-15";"EGA"
"EGAS00001000169";"0";"0";"6";"6";"2011-11-29";"EGA"
"EGAS00001000170";"0";"0";"294";"294";"2011-11-29";"EGA"
"EGAS00001000171";"0";"0";"14";"14";"2011-11-30";"EGA"
"EGAS00001000172";"0";"0";"3";"3";"2011-11-30";"EGA"
"EGAS00001000173";"0";"0";"32";"32";"2011-11-30";"EGA"
"EGAS00001000174";"0";"0";"17";"17";"2011-11-30";"EGA"
"EGAS00001000175";"0";"0";"67";"67";"2011-11-30";"EGA"
"EGAS00001000176";"0";"0";"16";"16";"2011-11-30";"EGA"
"EGAS00001000177";"0";"0";"26";"26";"2011-11-30";"EGA"
"EGAS00001000178";"0";"0";"18";"18";"2011-11-30";"EGA"
"EGAS00001000179";"0";"0";"10";"10";"2011-11-30";"EGA"
"EGAS00001000180";"0";"0";"5";"5";"2011-11-30";"EGA"
"EGAS00001000181";"0";"0";"60";"60";"2011-11-30";"EGA"
"EGAS00001000182";"6";"12";"26";"44";"2011-12-05";"EGA"
"EGAS00001000185";"0";"0";"167";"167";"2011-12-09";"EGA"
"EGAS00001000187";"0";"0";"48";"48";"2011-12-09";"EGA"
"EGAS00001000188";"0";"0";"68";"68";"2011-12-14";"EGA"
"EGAS00001000189";"0";"0";"95";"95";"2011-12-19";"EGA"
"EGAS00001000190";"0";"0";"327";"327";"2012-01-03";"EGA"
"EGAS00001000135";"0";"0";"36";"36";"2012-01-04";"EGA"
"EGAS00001000192";"0";"0";"2609";"2609";"2012-01-04";"EGA"
"EGAS00001000193";"0";"0";"173";"173";"2012-01-09";"EGA"
"EGAS00001000194";"0";"0";"7";"7";"2012-01-09";"EGA"
"EGAS00001000195";"0";"217";"1231";"1448";"2012-01-10";"EGA"
"EGAS00001000196";"0";"0";"301";"301";"2012-01-12";"EGA"
"EGAS00001000197";"0";"0";"205";"205";"2012-01-12";"EGA"
"EGAS00001000198";"0";"0";"6";"6";"2012-01-12";"EGA"
"EGAS00001000199";"0";"0";"4";"4";"2012-01-12";"EGA"
"EGAS00001000200";"0";"0";"214";"214";"2012-01-12";"EGA"
"EGAS00001000201";"0";"0";"137";"137";"2012-01-12";"EGA"
"EGAS00001000202";"0";"0";"3";"3";"2012-01-12";"EGA"
"EGAS00001000203";"0";"0";"4";"4";"2012-01-12";"EGA"
