study,female,male,unknown
EGAS00001002952,37,59,0
EGAS00001002953,43,60,0
EGAS00001002954,26,64,0
EGAS00001002955,2,9,0
EGAS00001002957,11,8,0
EGAS00001002962,77,123,0
EGAS00001002963,26,0,0
EGAS00001002964,1,1,46
EGAS00001002965,0,140,0
EGAS00001002966,305,152,0
EGAS00001002967,0,0,437
EGAS00001002968,0,0,1
EGAS00001002969,1112,1058,0
EGAS00001002976,374,322,0
EGAS00001002977,59,133,0
EGAS00001002979,82,136,6
EGAS00001002980,13,14,1
EGAS00001002981,10,102,0
EGAS00001002983,14,30,0
EGAS00001002987,6,1,0
EGAS00001002988,0,20,0
EGAS00001002991,0,0,5
EGAS00001002993,0,0,639
EGAS00001002996,11,11,0
EGAS00001002998,55,0,0
EGAS00001002999,0,1,0
EGAS00001003001,0,14,0
EGAS00001003003,17,0,0
EGAS00001003004,494,327,52
EGAS00001003007,0,44,0
EGAS00001003008,141,382,0
EGAS00001003010,0,0,256
EGAS00001003016,5,5,0
EGAS00001003017,12,2,0
EGAS00001003018,5953,4808,0
EGAS00001003023,27,799,142
EGAS00001003025,2,0,0
EGAS00001003026,0,9,0
EGAS00001003027,108,102,1007
EGAS00001003028,59,117,115
EGAS00001003029,38,6,0
EGAS00001003031,0,7,0
EGAS00001003032,1,0,0
EGAS00001003033,1,0,0
EGAS00001003035,43,74,0
EGAS00001003038,155,112,0
EGAS00001003039,519,453,0
EGAS00001003040,1644,3212,0
EGAS00001003043,38,156,0
EGAS00001003044,86,0,0
EGAS00001003047,1,2,0
EGAS00001003048,28,0,0
EGAS00001003053,6,4,0
EGAS00001003054,32,129,0
EGAS00001003060,12,38,2
EGAS00001003062,11,17,0
EGAS00001003063,24,96,0
EGAS00001003064,52,84,0
EGAS00001003065,44,136,0
EGAS00001003066,0,0,139
EGAS00001003068,8,22,0
EGAS00001003070,34,53,0
EGAS00001003071,69,114,0
EGAS00001003072,0,1,0
EGAS00001003073,186,0,0
EGAS00001003075,124,0,0
EGAS00001003079,8,19,0
EGAS00001003081,15,29,0
EGAS00001003085,0,0,15
EGAS00001003092,38,18,0
EGAS00001003093,65,379,0
EGAS00001003094,0,0,16
EGAS00001003095,24,0,0
EGAS00001003096,47,53,0
EGAS00001003099,0,0,54
EGAS00001003101,0,0,129
EGAS00001003103,746,659,0
EGAS00001003105,0,0,109
EGAS00001003108,36,0,0
EGAS00001003110,37,34,0
EGAS00001003112,0,0,616
EGAS00001003113,0,1140,0
EGAS00001003114,0,4,0
EGAS00001003115,89,230,0
EGAS00001003116,0,0,14
EGAS00001003117,0,0,17
EGAS00001003118,53,108,0
EGAS00001003119,0,0,380
EGAS00001003121,0,0,30
EGAS00001003123,39,41,0
EGAS00001003127,0,0,12
EGAS00001003128,4,2,0
EGAS00001003130,11,28,0
EGAS00001003131,0,0,40
EGAS00001003136,0,0,18
EGAS00001003137,0,0,12
EGAS00001003138,0,0,9
EGAS00001003139,0,0,9
EGAS00001003140,0,0,19
EGAS00001003142,29,0,0
EGAS00001003144,1641,2747,252
EGAS00001003145,49,211,1
EGAS00001003147,64,26,0
EGAS00001003148,0,8,0
EGAS00001003151,0,0,12
EGAS00001003154,59,82,0
EGAS00001003157,0,0,2
EGAS00001003158,54,151,0
EGAS00001003159,0,0,906
EGAS00001003160,0,0,169
EGAS00001003162,0,6,0
EGAS00001003163,0,0,77
EGAS00001003167,0,0,113
EGAS00001003168,131,74,0
EGAS00001003170,5,16,26
EGAS00001003171,0,34,0
EGAS00001003172,0,109,0
EGAS00001003173,28,0,0
EGAS00001003174,0,0,41
EGAS00001003175,0,0,595
EGAS00001003176,2,0,1
EGAS00001003177,1,0,0
EGAS00001003178,1091,1241,14
EGAS00001003179,0,80,0
EGAS00001003180,39,49,0
EGAS00001003184,94,185,0
EGAS00001003185,0,0,554
EGAS00001003186,91,71,0
EGAS00001003190,31756,13318,0
EGAS00001003193,8,8,0
EGAS00001003195,29517,13866,288
EGAS00001003197,0,0,16
EGAS00001003199,1,0,1
EGAS00001003200,9,0,0
EGAS00001003201,53,52,0
EGAS00001003203,4,8,0
EGAS00001003206,16,24,1
EGAS00001003207,16,60,1055
EGAS00001003208,16,60,1055
EGAS00001003212,0,0,2
EGAS00001003213,3,1,0
EGAS00001003214,50,70,0
EGAS00001003215,0,16,0
EGAS00001003216,16541,6730,70
EGAS00001003217,3,5,3
EGAS00001003220,4,4,0
EGAS00001003221,198,0,0
EGAS00001003223,94,169,0
EGAS00001003225,0,0,22
EGAS00001003228,12,94,0
EGAS00001003231,3,3,0
EGAS00001003232,16,18,0
EGAS00001003233,76,138,4
EGAS00001003234,8,12,0
EGAS00001003235,6,8,0
EGAS00001003237,17,93,0
EGAS00001003238,28,0,0
EGAS00001003239,2,2,0
EGAS00001003242,107,0,0
EGAS00001003244,713,665,0
EGAS00001003245,34,19,0
EGAS00001003248,65,99,0
EGAS00001003249,0,0,693
EGAS00001003250,13,9,0
EGAS00001003251,4,2,0
EGAS00001003252,72,0,0
EGAS00001003254,17,27,0
EGAS00001003255,0,0,13
EGAS00001003257,0,0,145
EGAS00001003258,118,0,0
EGAS00001003263,23,57,0
EGAS00001003266,0,0,1423
EGAS00001003274,4,8,0
EGAS00001003275,12,20,0
EGAS00001003276,102,86,0
EGAS00001003278,0,0,1
EGAS00001003280,355,229,0
EGAS00001003281,3,17,0
EGAS00001003282,18,8,0
EGAS00001003284,24,34,0
EGAS00001003285,12,44,0
EGAS00001003286,0,11,0
EGAS00001003288,1,4,19
EGAS00001003290,1326,0,0
EGAS00001003291,25,28,0
EGAS00001003292,96,0,0
EGAS00001003293,0,192,0
EGAS00001003295,25,9,0
EGAS00001003296,569,485,0
EGAS00001003297,53,1,224
EGAS00001003298,97,60,0
EGAS00001003300,0,2,0
EGAS00001003302,314,409,106
EGAS00001003303,54,70,0
EGAS00001003305,0,0,156
EGAS00001003306,0,0,72
EGAS00001003307,0,0,72
EGAS00001003309,2838,2962,0
EGAS00001003310,9,11,0
EGAS00001003315,49,0,0
EGAS00001003316,0,0,8
EGAS00001003317,46,0,0
EGAS00001003318,29,0,0
EGAS00001003319,0,0,2
EGAS00001003320,12,0,0
EGAS00001003321,24,6,0
EGAS00001003322,24,0,0
EGAS00001003324,0,18,0
EGAS00001003325,0,27,0
EGAS00001003329,8,100,0
EGAS00001003331,24,100,0
EGAS00001003332,4,0,0
EGAS00001003333,25,31,1
EGAS00001003335,0,0,478
EGAS00001003337,55,34,11
EGAS00001003341,2,2,0
EGAS00001003342,18,60,0
EGAS00001003343,3,0,0
EGAS00001003344,34,0,0
EGAS00001003345,16,2,0
EGAS00001003349,4375,0,0
EGAS00001003350,1,2,0
EGAS00001003351,0,178,0
EGAS00001003352,0,48,0
EGAS00001003354,235,0,0
EGAS00001003355,20,25,0
EGAS00001003357,5,6,0
EGAS00001003358,0,0,7
EGAS00001003359,0,0,17
EGAS00001003361,0,0,195
EGAS00001003362,2,0,0
EGAS00001003363,0,0,204
EGAS00001003365,80,44,0
EGAS00001003366,10,0,0
EGAS00001003367,57,98,0
EGAS00001003368,83,96,74
EGAS00001003369,25,54,36
EGAS00001003370,1,12,0
EGAS00001003372,0,0,30657
EGAS00001003380,0,0,290
EGAS00001003382,47,103,39
EGAS00001003383,1195,1804,2
EGAS00001003384,5,4,0
EGAS00001003385,24,30,0
EGAS00001003386,0,0,30
EGAS00001003387,3,0,0
EGAS00001003388,7,58,0
EGAS00001003396,105,244,0
EGAS00001003397,1119,2676,699
EGAS00001003399,0,0,48
EGAS00001003400,10,7,0
EGAS00001003405,12,38,0
EGAS00001003406,8,19,0
EGAS00001003407,124,76,0
EGAS00001003408,0,0,236
EGAS00001003409,0,0,118
EGAS00001003412,5,15,0
EGAS00001003414,0,1,3
EGAS00001003415,213,132,0
EGAS00001003418,5,21,0
EGAS00001003419,637,674,0
EGAS00001003421,26,17,0
EGAS00001003423,1421,1868,0
EGAS00001003424,13398,8820,9
EGAS00001003425,0,0,3
EGAS00001003426,158,142,0
EGAS00001003427,14,0,0
EGAS00001003430,0,0,6
EGAS00001003432,6,10,10
EGAS00001003433,61,52,87
EGAS00001003434,0,0,35
EGAS00001003436,0,3,0
EGAS00001003437,0,0,184
EGAS00001003438,0,0,20
EGAS00001003439,120,200,0
EGAS00001003442,0,13,0
EGAS00001003443,367,271,0
EGAS00001003444,0,0,47
EGAS00001003445,0,0,61
EGAS00001003446,9,12,122
EGAS00001003447,22,60,0
EGAS00001003449,2,34,0
EGAS00001003450,82,110,0
EGAS00001003451,8,16,0
EGAS00001003452,25,15,0
EGAS00001003453,3,10,0
EGAS00001003454,58,26,0
EGAS00001003455,0,0,316
EGAS00001003456,163,245,167
EGAS00001003457,89,655,482
EGAS00001003458,58,106,0
EGAS00001003460,1,0,0
EGAS00001003462,19,6,0
EGAS00001003463,45,49,0
EGAS00001003467,46,26,0
EGAS00001003468,37,75,0
EGAS00001003469,3,1,0
EGAS00001003471,0,0,47
EGAS00001003474,10,37,0
EGAS00001003481,94,46,0
EGAS00001003484,32,66,0
EGAS00001003485,369,367,0
EGAS00001003486,80,65,0
EGAS00001003487,370,0,0
EGAS00001003488,32,52,0
EGAS00001003489,25,29,0
EGAS00001003490,0,0,280
EGAS00001003493,2,4,0
EGAS00001003496,0,0,330
EGAS00001003497,3,0,0
EGAS00001003498,0,0,53
EGAS00001003499,5830,4602,0
EGAS00001003500,0,9,34
EGAS00001003501,0,183,0
EGAS00001003503,20,0,0
EGAS00001003504,598,0,0
EGAS00001003506,0,0,34
EGAS00001003507,37,58,0
EGAS00001003508,131,166,0
EGAS00001003510,1,2,0
EGAS00001003511,3574,3008,0
EGAS00001003513,0,0,53
EGAS00001003514,0,0,40
EGAS00001003517,39,66,12
EGAS00001003519,35,66,52
EGAS00001003520,0,0,6
EGAS00001003521,1,3,0
EGAS00001003525,2,13,3
EGAS00001003530,221,479,2
EGAS00001003531,0,0,18
EGAS00001003534,150,0,0
EGAS00001003535,162,0,0
EGAS00001003536,5,28,1
EGAS00001003538,0,0,30
EGAS00001003539,56,75,0
EGAS00001003540,0,0,187
EGAS00001003542,19,45,982
EGAS00001003544,19,0,0
EGAS00001003545,239,0,0
EGAS00001003546,12,15,0
EGAS00001003547,148,248,0
EGAS00001003548,108,25,0
EGAS00001003549,53,1,224
EGAS00001003554,2,0,0
EGAS00001003555,22,0,0
EGAS00001003556,180,0,0
EGAS00001003558,0,0,14
EGAS00001003560,0,0,42
EGAS00001003563,134,205,0
EGAS00001003564,4,0,0
EGAS00001003565,361,576,3
EGAS00001003570,97,78,0
EGAS00001003571,0,0,7
EGAS00001003572,1,0,0
EGAS00001003573,89,74,0
EGAS00001003575,5,4,1
EGAS00001003576,0,0,50
EGAS00001003579,0,52,0
EGAS00001003582,23,104,0
EGAS00001003583,70,60,0
EGAS00001003585,33,28,0
EGAS00001003586,30,40,0
EGAS00001003592,3,0,0
EGAS00001003594,0,0,20
EGAS00001003596,9,0,0
EGAS00001003598,139,26,0
EGAS00001003599,1,2,0
EGAS00001003600,57,115,0
EGAS00001003601,0,0,18
EGAS00001003602,3,181,0
EGAS00001003603,48,97,1
EGAS00001003605,0,0,59
EGAS00001003611,348,189,0
EGAS00001003616,0,0,15
EGAS00001003617,0,47,0
EGAS00001003620,3,41,0
EGAS00001003623,1,1,0
EGAS00001003624,8,190,0
EGAS00001003627,0,0,53
EGAS00001003628,8,16,0
EGAS00001003629,103,138,0
EGAS00001003631,97,0,0
EGAS00001003633,499,800,0
EGAS00001003634,21,19,11
EGAS00001003635,24,39,0
EGAS00001003638,0,0,54
EGAS00001003639,2139,480,0
EGAS00001003642,161,170,0
EGAS00001003643,3,19,0
EGAS00001003644,3,19,0
EGAS00001003645,3482,2823,0
EGAS00001003646,20,16,0
EGAS00001003647,31,19,8
EGAS00001003650,1,5,2
EGAS00001003651,0,6,0
EGAS00001003652,13,58,8
EGAS00001003653,0,120,0
EGAS00001003654,6,76,0
EGAS00001003656,0,0,45
EGAS00001003657,58,127,0
EGAS00001003658,6,4,0
EGAS00001003659,0,0,38
EGAS00001003660,2,12,0
EGAS00001003661,154,214,0
EGAS00001003662,909,172,0
EGAS00001003663,0,0,6
EGAS00001003667,15,21,18
EGAS00001003670,0,48,0
EGAS00001003671,0,179,0
EGAS00001003672,77,122,0
EGAS00001003673,3,3,0
EGAS00001003674,9,5,0
EGAS00001003676,22,24,0
EGAS00001003679,10,0,0
EGAS00001003680,22,58,0
EGAS00001003681,22,58,0
EGAS00001003682,130,141,116
EGAS00001003684,2,3,0
EGAS00001003685,14,5,0
EGAS00001003686,20,10,0
EGAS00001003687,11,51,0
EGAS00001003689,537,930,0
EGAS00001003690,53,88,6
EGAS00001003695,11,39,0
EGAS00001003699,57,62,1
EGAS00001003700,1,6,0
EGAS00001003701,69,70,0
EGAS00001003702,70,429,21
EGAS00001003705,224,0,0
EGAS00001003709,15,25,0
EGAS00001003710,172,224,0
EGAS00001003711,0,3,0
EGAS00001003714,12,7,0
EGAS00001003715,0,41,0
EGAS00001003719,15,85,7
EGAS00001003722,69,248,0
EGAS00001003723,10,12,0
EGAS00001003724,10,12,0
EGAS00001003725,13,12,0
EGAS00001003726,0,0,54
EGAS00001003727,369,350,0
EGAS00001003730,8,19,2
EGAS00001003731,80,226,108
EGAS00001003732,10,39,0
EGAS00001003733,0,0,10
EGAS00001003734,0,0,10
EGAS00001003737,73,62,1
EGAS00001003738,0,0,2
EGAS00001003739,86,93,0
EGAS00001003745,76,46,0
EGAS00001003746,69,47,0
EGAS00001003750,0,0,90
EGAS00001003753,40,0,0
EGAS00001003754,77,99,35
EGAS00001003755,208,188,0
EGAS00001003763,3,0,0
EGAS00001003764,0,16,0
EGAS00001003765,0,9,0
EGAS00001003766,0,0,30
EGAS00001003767,17,26,0
EGAS00001003769,6,4,0
EGAS00001003774,0,0,312
EGAS00001003775,0,0,2
EGAS00001003776,2,0,0
EGAS00001003778,39,129,15
EGAS00001003779,17,16,0
EGAS00001003781,60,174,60
EGAS00001003784,0,3,0
EGAS00001003785,1,5,0
EGAS00001003786,0,0,44
EGAS00001003787,7,20,0
EGAS00001003789,220,0,0
EGAS00001003790,7,15,0
EGAS00001003791,14,24,0
EGAS00001003792,20,0,0
EGAS00001003800,7,0,0
EGAS00001003801,0,0,827
EGAS00001003802,0,0,827
EGAS00001003803,7,8,0
EGAS00001003804,0,0,252
EGAS00001003805,37306,18242,24
EGAS00001003806,40,66,0
EGAS00001003809,2,1,0
EGAS00001003812,409,903,0
EGAS00001003814,48,154,0
EGAS00001003817,3,3,0
EGAS00001003818,349,244,0
EGAS00001003819,1062,1083,0
EGAS00001003820,21,18,0
EGAS00001003821,20,0,0
EGAS00001003822,9,4,0
EGAS00001003823,0,141,0
EGAS00001003826,85,2,0
EGAS00001003827,15,0,0
EGAS00001003828,132,370,4
EGAS00001003829,24,21,0
EGAS00001003830,23,45,0
EGAS00001003831,0,0,59
EGAS00001003834,30,17,0
EGAS00001003837,45,63,0
EGAS00001003839,52,17,0
EGAS00001003840,52,17,0
EGAS00001003841,52,17,0
EGAS00001003843,0,0,290
EGAS00001003845,3,9,15
EGAS00001003846,0,0,173
EGAS00001003847,0,0,54
EGAS00001003848,0,151,0
EGAS00001003849,2,0,1
EGAS00001003852,3,6,0
EGAS00001003853,82,59,0
EGAS00001003856,1,6,0
EGAS00001003857,14,38,0
EGAS00001003860,0,17,0
EGAS00001003861,1,1,0
EGAS00001003863,3,0,54
EGAS00001003870,0,12,0
EGAS00001003872,244,256,0
EGAS00001003875,0,0,4810
EGAS00001003876,4,5,0
EGAS00001003882,0,11,150
EGAS00001003883,53,22,0
EGAS00001003886,4,6,0
EGAS00001003887,29,43,0
EGAS00001003889,7,18,0
EGAS00001003892,52,54,0
EGAS00001003893,26,118,0
EGAS00001003895,15,34,0
EGAS00001003896,24,150,0
EGAS00001003897,11,9,0
EGAS00001003899,0,154,0
EGAS00001003901,68,74,0
EGAS00001003917,74,98,8
EGAS00001003922,12,21,0
EGAS00001003923,3,3,0
EGAS00001003928,0,50,0
EGAS00001003931,0,0,634
EGAS00001003932,0,0,368
EGAS00001003934,20,0,0
EGAS00001003942,0,5,0
EGAS00001003944,63,127,4
EGAS00001003946,0,0,8
EGAS00001003950,18,9,0
EGAS00001003951,8,0,0
EGAS00001003952,0,0,85
EGAS00001003953,182,234,0
EGAS00001003955,52,35,0
EGAS00001003958,0,115,0
EGAS00001003962,54,12,0
EGAS00001003963,4,5,0
EGAS00001003964,0,0,17
EGAS00001003968,48,75,0
EGAS00001003970,18,26,0
EGAS00001003973,0,78,0
EGAS00001003974,85,167,0
EGAS00001003975,97,189,490
EGAS00001003976,0,0,48
EGAS00001003979,0,0,2
EGAS00001003980,44,0,0
EGAS00001003982,18,48,0
EGAS00001003984,0,0,18
EGAS00001003985,0,0,18
EGAS00001003986,22,15,0
EGAS00001003987,0,0,28
EGAS00001003988,0,0,28
EGAS00001003989,0,0,125
EGAS00001003991,13,9,0
EGAS00001003992,15,13,0
EGAS00001003993,39,6,0
EGAS00001003994,76,12,0
EGAS00001003996,0,0,21
EGAS00001003997,128,127,0
EGAS00001004000,97,149,0
EGAS00001004003,0,1,0
EGAS00001004006,0,0,394
EGAS00001004007,292,254,0
EGAS00001004008,1,9,0
EGAS00001004009,0,0,24
EGAS00001004014,25,0,0
EGAS00001004015,2,0,0
EGAS00001004016,0,0,1
EGAS00001004018,0,0,9
EGAS00001004019,3,6,0
EGAS00001004020,0,30,0
EGAS00001004022,0,0,117
EGAS00001004023,0,29,0
EGAS00001004026,225,315,0
EGAS00001004027,0,0,177
EGAS00001004028,3,0,0
EGAS00001004030,8,0,0
EGAS00001004031,7,0,0
EGAS00001004032,20,50,0
EGAS00001004033,3,14,0
EGAS00001004034,4,9,0
EGAS00001004035,0,6,0
EGAS00001004036,95,59,0
EGAS00001004042,73,118,0
EGAS00001004043,10,7,0
EGAS00001004044,73,118,0
EGAS00001004050,0,87,0
EGAS00001004053,5,26,0
EGAS00001004055,0,3,0
EGAS00001004056,73,118,0
EGAS00001004059,0,16,0
EGAS00001004063,106,75,0
EGAS00001004066,102,98,233
EGAS00001004070,2,6,0
EGAS00001004071,169,137,0
EGAS00001004074,12,34,0
EGAS00001004076,5,0,0
EGAS00001004077,22,8,0
EGAS00001004078,21,8,0
EGAS00001004079,16,8,0
EGAS00001004080,0,0,29
EGAS00001004081,149,148,0
EGAS00001004082,21,14,0
EGAS00001004084,2,2,0
EGAS00001004085,14,42,0
EGAS00001004086,5,6,0
EGAS00001004087,584,250,0
EGAS00001004088,0,8,0
EGAS00001004090,0,0,160
EGAS00001004091,0,0,74
EGAS00001004092,1293,1309,0
EGAS00001004093,4,0,0
EGAS00001004097,35,46,0
EGAS00001004106,10,24,18
EGAS00001004107,0,0,379
EGAS00001004110,0,0,12
EGAS00001004111,0,2705,0
EGAS00001004112,19,26,0
EGAS00001004113,0,0,16
EGAS00001004114,49,118,0
EGAS00001004115,4,6,0
EGAS00001004117,40,0,0
EGAS00001004118,23,0,1
EGAS00001004122,102,97,11
EGAS00001004123,9,3,0
EGAS00001004124,20,22,0
EGAS00001004126,262,401,0
EGAS00001004127,0,0,499
EGAS00001004135,21,49,0
EGAS00001004136,0,0,10
EGAS00001004139,474,159,0
EGAS00001004145,3,4,0
EGAS00001004147,0,30,0
EGAS00001004151,68,100,0
EGAS00001004152,0,0,48
EGAS00001004153,11,24,3
EGAS00001004156,21,0,34
EGAS00001004157,2,7,1
EGAS00001004160,0,0,164
EGAS00001004165,122,259,0
EGAS00001004168,0,94,0
EGAS00001004169,14,12,4
EGAS00001004175,122,259,0
EGAS00001004176,2,0,0
EGAS00001004177,83,220,0
EGAS00001004181,0,0,40
EGAS00001004182,60,0,0
EGAS00001004186,0,132,0
EGAS00001004189,0,0,74
EGAS00001004192,0,977,0
EGAS00001004194,0,0,60
EGAS00001004196,4,2,0
EGAS00001004200,20,0,0
EGAS00001004201,0,80,0
EGAS00001004204,85,53,0
EGAS00001004208,0,0,31
EGAS00001004209,261,153,21
EGAS00001004211,8,0,0
EGAS00001004212,65,68,0
EGAS00001004213,56,102,0
EGAS00001004216,0,0,40
EGAS00001004218,18,0,0
EGAS00001004220,14,0,0
EGAS00001004221,25,0,0
EGAS00001004224,564,2,0
EGAS00001004229,0,3,0
EGAS00001004230,2,6,0
EGAS00001004231,0,10,0
EGAS00001004232,0,10,0
EGAS00001004233,0,10,0
EGAS00001004235,516,0,0
EGAS00001004239,25,26,0
EGAS00001004242,47,54,0
EGAS00001004243,0,0,74
EGAS00001004248,20,0,0
EGAS00001004249,79,0,0
EGAS00001004255,8,4,0
EGAS00001004266,0,5,0
EGAS00001004267,719,814,22
EGAS00001004268,31,0,0
EGAS00001004270,0,2,0
EGAS00001004271,15,30,0
EGAS00001004272,0,44,0
EGAS00001004273,12,4,0
EGAS00001004274,12,4,0
EGAS00001004275,0,0,6
EGAS00001004276,267,271,0
EGAS00001004277,2,0,0
EGAS00001004282,0,2,0
EGAS00001004283,2,2,0
EGAS00001004284,161,155,0
EGAS00001004285,5,13,0
EGAS00001004286,10,9,0
EGAS00001004289,55,156,61
EGAS00001004290,14,17,0
EGAS00001004291,18,35,0
EGAS00001004292,67,211,0
EGAS00001004296,142,97,1
EGAS00001004298,0,0,176
EGAS00001004301,53,90,3
EGAS00001004303,97,140,12
EGAS00001004312,7,25,2
EGAS00001004314,0,0,71
EGAS00001004315,0,56,21
EGAS00001004316,0,0,188
EGAS00001004319,6,9,0
EGAS00001004325,28,41,0
EGAS00001004327,1782,0,0
EGAS00001004328,0,114,0
EGAS00001004329,156,794,161
EGAS00001004335,10,0,0
EGAS00001004340,0,3,0
EGAS00001004341,110,130,0
EGAS00001004342,0,0,37
EGAS00001004343,1346,3600,824
EGAS00001004344,3,6,0
EGAS00001004345,14,8,0
EGAS00001004347,9,11,0
EGAS00001004348,12,12,0
EGAS00001004349,488,918,0
EGAS00001004352,126,226,36
EGAS00001004353,1498,3939,0
EGAS00001004355,0,0,213
EGAS00001004356,154,0,0
EGAS00001004357,14,18,0
EGAS00001004358,12,73,0
EGAS00001004361,19,0,0
EGAS00001004364,0,0,1
EGAS00001004365,286,180,0
EGAS00001004366,112,0,0
EGAS00001004367,66,163,0
EGAS00001004370,20,25,0
EGAS00001004373,0,0,83
EGAS00001004374,0,0,16
EGAS00001004375,0,0,11
EGAS00001004379,8,30,0
EGAS00001004381,4,0,0
EGAS00001004383,48,48,0
EGAS00001004386,137,474,0
EGAS00001004388,6,8,17
EGAS00001004390,92,0,0
EGAS00001004391,74,97,97
EGAS00001004392,5,0,0
EGAS00001004394,5,5,0
EGAS00001004395,52,109,0
EGAS00001004396,0,73,0
EGAS00001004397,3,30,0
EGAS00001004401,83,113,0
EGAS00001004402,13,17,0
EGAS00001004404,0,24,0
EGAS00001004405,39,0,0
EGAS00001004406,86,81,0
EGAS00001004407,12,12,2131
EGAS00001004408,576,0,0
EGAS00001004409,0,0,5
EGAS00001004412,0,0,1
EGAS00001004413,1,2,0
EGAS00001004415,0,0,467
EGAS00001004416,0,0,260
EGAS00001004418,12,5,275
EGAS00001004419,10,6,0
EGAS00001004422,4,14,7
EGAS00001004424,191,73,12
EGAS00001004428,10,0,20
EGAS00001004430,1,50,0
EGAS00001004431,83,205,0
EGAS00001004434,166,225,0
EGAS00001004437,679,680,0
EGAS00001004438,64,42,30
EGAS00001004439,17,0,0
EGAS00001004440,18,53,0
EGAS00001004443,9,6,0
EGAS00001004444,64,64,0
EGAS00001004445,0,0,1036
EGAS00001004446,38,27,0
EGAS00001004447,0,0,29
EGAS00001004448,582,240,153
EGAS00001004451,0,8,0
EGAS00001004452,21,0,0
EGAS00001004454,0,0,18
EGAS00001004455,0,0,22
EGAS00001004456,0,3,0
EGAS00001004458,0,20,0
EGAS00001004459,6,19,0
EGAS00001004460,8,10,12
EGAS00001004461,314,415,0
EGAS00001004466,18,0,0
EGAS00001004467,0,14,0
EGAS00001004468,2,19,0
EGAS00001004470,27,15,0
EGAS00001004472,46,33,5
EGAS00001004473,68,9,0
EGAS00001004476,44,4,0
EGAS00001004479,10,12,0
EGAS00001004480,799,676,20
EGAS00001004481,9,27,0
EGAS00001004482,47,54,2
EGAS00001004484,33,29,0
EGAS00001004485,139,173,504
EGAS00001004491,40,108,0
EGAS00001004492,72,108,1
EGAS00001004494,0,2,0
EGAS00001004495,60,24,0
EGAS00001004499,3457,0,0
EGAS00001004502,248,386,16
EGAS00001004503,31,89,0
EGAS00001004504,0,2,0
EGAS00001004505,28,93,0
EGAS00001004507,76,254,0
EGAS00001004508,0,0,19
EGAS00001004510,66,0,0
EGAS00001004511,10,5,0
EGAS00001004512,0,0,4
